Combination	Reverse	Strain	Benchmarking
Fosfomycin_Procaine	Procaine_Fosfomycin	Ecoli_BW	A
Imipenem_Cefotaxime	Cefotaxime_Imipenem	Ecoli_BW	S
Vanillin_Novobiocin	Novobiocin_Vanillin	Ecoli_BW	A
Mitomycin C_Amikacin	Amikacin_Mitomycin C	Ecoli_BW	S
Mitomycin C_Procaine	Procaine_Mitomycin C	Ecoli_BW	S
Amikacin_PMS	PMS_Amikacin	Ecoli_BW	A
Erythromycin_Cefaclor	Cefaclor_Erythromycin	Ecoli_BW	N
Penicillin G_Cefsulodin	Cefsulodin_Penicillin G	Ecoli_BW	S
Sulfamonomethoxine_Levofloxacin	Levofloxacin_Sulfamonomethoxine	Ecoli_BW	N
Cerulenin_Rifampicin	Rifampicin_Cerulenin	Ecoli_BW	S
Doxycycline_Erythromycin	Erythromycin_Doxycycline	Ecoli_BW	S
Doxycycline_Novobiocin	Novobiocin_Doxycycline	Ecoli_BW	N
Mecillinam_PMS	PMS_Mecillinam	Ecoli_BW	A
Novobiocin_Cefaclor	Cefaclor_Novobiocin	Ecoli_BW	N
Benzalkonium_Mecillinam	Mecillinam_Benzalkonium	Ecoli_BW	A
Cefotaxime_Clarithromycin	Clarithromycin_Cefotaxime	Ecoli_BW	N
Doxycycline_Minocycline	Minocycline_Doxycycline	Ecoli_BW	N
Levofloxacin_Procaine	Procaine_Levofloxacin	Ecoli_BW	S
Mecillinam_Paraquat	Paraquat_Mecillinam	Ecoli_BW	A
Nitrofurantoin_Ciprofloxacin	Ciprofloxacin_Nitrofurantoin	Ecoli_BW	A
Nitrofurantoin_Levofloxacin	Levofloxacin_Nitrofurantoin	Ecoli_BW	A
Paraquat_Cycloserine D	Cycloserine D_Paraquat	Ecoli_BW	S
Piperacillin_Procaine	Procaine_Piperacillin	Ecoli_BW	S
Pyocyanin_PMS	PMS_Pyocyanin	Ecoli_BW	N
Reserpine_Levofloxacin	Levofloxacin_Reserpine	Ecoli_BW	N
Vanillin_Minocycline	Minocycline_Vanillin	Ecoli_BW	N
Amoxicillin_Cefotaxime	Cefotaxime_Amoxicillin	Ecoli_BW	S
Ciprofloxacin_Procaine	Procaine_Ciprofloxacin	Ecoli_BW	N
Ciprofloxacin_Rifampicin	Rifampicin_Ciprofloxacin	Ecoli_BW	A
Colistin_Erythromycin	Erythromycin_Colistin	Ecoli_BW	S
Doxycycline_Amikacin	Amikacin_Doxycycline	Ecoli_BW	S
Doxycycline_Loperamide	Loperamide_Doxycycline	Ecoli_BW	S
Fosfomycin_Erythromycin	Erythromycin_Fosfomycin	Ecoli_BW	A
Fosfomycin_Mitomycin C	Mitomycin C_Fosfomycin	Ecoli_BW	A
Mitomycin C_PMS	PMS_Mitomycin C	Ecoli_BW	A
Novobiocin_Fosfomycin	Fosfomycin_Novobiocin	Ecoli_BW	A
Penicillin G_Aztreonam	Aztreonam_Penicillin G	Ecoli_BW	S
Piperacillin_Amoxicillin	Amoxicillin_Piperacillin	Ecoli_BW	S
Fosfomycin_Procaine	Procaine_Fosfomycin	Ecoli_iAi1	A
Imipenem_Cefotaxime	Cefotaxime_Imipenem	Ecoli_iAi1	S
Vanillin_Novobiocin	Novobiocin_Vanillin	Ecoli_iAi1	A
Mitomycin C_Procaine	Procaine_Mitomycin C	Ecoli_iAi1	A
Amikacin_PMS	PMS_Amikacin	Ecoli_iAi1	N
Erythromycin_Cefaclor	Cefaclor_Erythromycin	Ecoli_iAi1	N
Erythromycin_Loperamide	Loperamide_Erythromycin	Ecoli_iAi1	N
Penicillin G_Cefsulodin	Cefsulodin_Penicillin G	Ecoli_iAi1	S
Sulfamonomethoxine_Levofloxacin	Levofloxacin_Sulfamonomethoxine	Ecoli_iAi1	N
Cerulenin_Rifampicin	Rifampicin_Cerulenin	Ecoli_iAi1	A
Doxycycline_Erythromycin	Erythromycin_Doxycycline	Ecoli_iAi1	S
Novobiocin_Cefaclor	Cefaclor_Novobiocin	Ecoli_iAi1	N
Cefotaxime_Clarithromycin	Clarithromycin_Cefotaxime	Ecoli_iAi1	S
Doxycycline_Minocycline	Minocycline_Doxycycline	Ecoli_iAi1	N
Nitrofurantoin_Levofloxacin	Levofloxacin_Nitrofurantoin	Ecoli_iAi1	A
Nitrofurantoin_Minocycline	Minocycline_Nitrofurantoin	Ecoli_iAi1	N
Paraquat_Cycloserine D	Cycloserine D_Paraquat	Ecoli_iAi1	S
Piperacillin_Procaine	Procaine_Piperacillin	Ecoli_iAi1	S
Pyocyanin_PMS	PMS_Pyocyanin	Ecoli_iAi1	N
Reserpine_Levofloxacin	Levofloxacin_Reserpine	Ecoli_iAi1	N
Vanillin_Minocycline	Minocycline_Vanillin	Ecoli_iAi1	N
Amoxicillin_Cefotaxime	Cefotaxime_Amoxicillin	Ecoli_iAi1	S
Ciprofloxacin_Procaine	Procaine_Ciprofloxacin	Ecoli_iAi1	A
Ciprofloxacin_Rifampicin	Rifampicin_Ciprofloxacin	Ecoli_iAi1	A
Colistin_Erythromycin	Erythromycin_Colistin	Ecoli_iAi1	S
Doxycycline_Amikacin	Amikacin_Doxycycline	Ecoli_iAi1	N
