Combination	Bug	Replicate	Vertical	Horizontal	Starting_Vertical	Starting_Horizontal	Color
Fosfomycin-Procaine-EC_BW-rep1	EC_BW	1	Procaine	Fosfomycin	11000	0.2	F8A100
Imipenem-Cefotaxime-EC_BW-rep1	EC_BW	1	Cefotaxime	Imipenem	0.04	0.25	F8A101
Vanillin-Novobiocin-EC_BW-rep1	EC_BW	1	Novobiocin	Vanillin	40	200	F8A102
Mitomycin C-Amikacin-EC_BW-rep1	EC_BW	1	Amikacin	Mitomycin C	1	0.8	F8A103
Mitomycin C-Procaine-EC_BW-rep1	EC_BW	1	Procaine	Mitomycin C	11000	0.8	F8A104
Amikacin-PMS-EC_BW-rep1	EC_BW	1	PMS	Amikacin	15	1	F8A105
Erythromycin-Cefaclor-EC_BW-rep1	EC_BW	1	Cefaclor	Erythromycin	2	30	F8A106
Penicillin G-Cefsulodin-EC_BW-rep1	EC_BW	1	Cefsulodin	Penicillin G	40	50	F8A107
Sulfamonomethoxine-Levofloxacin-EC_BW-rep1	EC_BW	1	Levofloxacin	Sulfamonomethoxine	0.063	100	F8A108
Cerulenin-Rifampicin-EC_BW-rep1	EC_BW	1	Rifampicin	Cerulenin	15	10	F8A109
Doxycycline-Erythromycin-EC_BW-rep1	EC_BW	1	Erythromycin	Doxycycline	30	0.75	F8A110
Doxycycline-Novobiocin-EC_BW-rep1	EC_BW	1	Novobiocin	Doxycycline	40	0.75	F8A111
Mecillinam-PMS-EC_BW-rep1	EC_BW	1	PMS	Mecillinam	15	0.2	F8A112
Novobiocin-Cefaclor-EC_BW-rep1	EC_BW	1	Cefaclor	Novobiocin	2	40	F8A113
Benzalkonium-Mecillinam-EC_BW-rep1	EC_BW	1	Mecillinam	Benzalkonium	0.2	20	F8A114
Cefotaxime-Clarithromycin-EC_BW-rep1	EC_BW	1	Clarithromycin	Cefotaxime	80	0.04	F8A115
Doxycycline-Minocycline-EC_BW-rep1	EC_BW	1	Minocycline	Doxycycline	1	0.75	F8A116
Levofloxacin-Procaine-EC_BW-rep1	EC_BW	1	Procaine	Levofloxacin	11000	0.063	F8A117
Mecillinam-Paraquat-EC_BW-rep1	EC_BW	1	Paraquat	Mecillinam	7	0.2	F8A118
Nitrofurantoin-Ciprofloxacin-EC_BW-rep1	EC_BW	1	Ciprofloxacin	Nitrofurantoin	0.015	8	F8A119
Nitrofurantoin-Levofloxacin-EC_BW-rep1	EC_BW	1	Levofloxacin	Nitrofurantoin	0.063	8	F8A120
Paraquat-Cycloserine D-EC_BW-rep1	EC_BW	1	Cycloserine D	Paraquat	15	7	F8A121
Piperacillin-Procaine-EC_BW-rep1	EC_BW	1	Procaine	Piperacillin	11000	0.9	F8A122
Pyocyanin-PMS-EC_BW-rep1	EC_BW	1	PMS	Pyocyanin	15	10	F8A123
Reserpine-Levofloxacin-EC_BW-rep1	EC_BW	1	Levofloxacin	Reserpine	0.063	200	F8A124
Vanillin-Minocycline-EC_BW-rep1	EC_BW	1	Minocycline	Vanillin	1	200	F8A125
Amoxicillin-Cefotaxime-EC_BW-rep1	EC_BW	1	Cefotaxime	Amoxicillin	0.04	2	F8A126
Ciprofloxacin-Procaine-EC_BW-rep1	EC_BW	1	Procaine	Ciprofloxacin	11000	0.015	F8A127
Ciprofloxacin-Rifampicin-EC_BW-rep1	EC_BW	1	Rifampicin	Ciprofloxacin	15	0.015	F8A128
Colistin-Erythromycin-EC_BW-rep1	EC_BW	1	Erythromycin	Colistin	30	0.3	F8A129
Doxycycline-Amikacin-EC_BW-rep1	EC_BW	1	Amikacin	Doxycycline	1	0.75	F8A130
Doxycycline-Loperamide-EC_BW-rep1	EC_BW	1	Loperamide	Doxycycline	300	0.75	F8A131
Fosfomycin-Erythromycin-EC_BW-rep1	EC_BW	1	Erythromycin	Fosfomycin	30	0.2	F8A132
Fosfomycin-Mitomycin C-EC_BW-rep1	EC_BW	1	Mitomycin C	Fosfomycin	0.8	0.2	F8A133
Mitomycin C-PMS-EC_BW-rep1	EC_BW	1	PMS	Mitomycin C	15	0.8	F8A134
Novobiocin-Fosfomycin-EC_BW-rep1	EC_BW	1	Fosfomycin	Novobiocin	0.2	40	F8A135
Penicillin G-Aztreonam-EC_BW-rep1	EC_BW	1	Aztreonam	Penicillin G	0.06	50	F8A136
Piperacillin-Amoxicillin-EC_BW-rep1	EC_BW	1	Amoxicillin	Piperacillin	2	0.9	F8A137
Paraquat-Aztreonam-EC_BW-rep1	EC_BW	1	Aztreonam	Paraquat	0.06	7	F8A138
EGCG-Ciprofloxacin-EC_BW-rep1	EC_BW	1	Ciprofloxacin	EGCG	0.015	20	F8A139
PMS-Azithromycin-EC_BW-rep1	EC_BW	1	Azithromycin	PMS	5	15	F8A140
Caffeine-Aztreonam-EC_BW-rep1	EC_BW	1	Aztreonam	Caffeine	0.06	200	F8A141
Ciprofloxacin-Spectinomycin-EC_BW-rep1	EC_BW	1	Spectinomycin	Ciprofloxacin	12	0.015	F8A142
Doxycycline-Ciprofloxacin-EC_BW-rep1	EC_BW	1	Ciprofloxacin	Doxycycline	0.015	0.75	F8A143
Minocycline-Ciprofloxacin-EC_BW-rep1	EC_BW	1	Ciprofloxacin	Minocycline	0.015	1	F8A144
Minocycline-Fosfomycin-EC_BW-rep1	EC_BW	1	Fosfomycin	Minocycline	0.2	1	F8A145
Nitrofuratoin-Minocycline-EC_iAi1-rep1	EC_iAi1	1	Minocycline	Nitrofuratoin	1	8	FFB836
Nitrofuratoin-Minocycline-EC_iAi1-rep2	EC_iAi1	2	Minocycline	Nitrofuratoin	1	8	FFB836
Nitrofuratoin-Minocycline-PA01-rep1	PA01	1	Minocycline	Nitrofuratoin	20	32	119E0A
Nitrofuratoin-Minocycline-PA01-rep2	PA01	2	Minocycline	Nitrofuratoin	20	32	119E0A
Nitrofuratoin-Minocycline-PA14-rep1	PA14	1	Minocycline	Nitrofuratoin	20	32	056000
Nitrofuratoin-Minocycline-PA14-rep2	PA14	2	Minocycline	Nitrofuratoin	20	32	056000
Nitrofuratoin-Minocycline-ST14028-rep1	ST14028	1	Minocycline	Nitrofuratoin	4	16	C3110C
Nitrofuratoin-Minocycline-ST14028-rep2	ST14028	2	Minocycline	Nitrofuratoin	4	16	C3110C
Mitomycin C-Azithromycin-EC_BW-rep1	EC_BW	1	Azithromycin	Mitomycin C	5	0.8	F8A146
Mitomycin C-Aztreonam-EC_BW-rep1	EC_BW	1	Aztreonam	Mitomycin C	0.06	0.8	F8A147
Paraquat-Azithromycin-EC_BW-rep1	EC_BW	1	Azithromycin	Paraquat	5	7	F8A148
Piperacillin-Fosfomycin-EC_BW-rep1	EC_BW	1	Fosfomycin	Piperacillin	0.2	0.9	F8A149
PMS-Aztreonam-EC_BW-rep1	EC_BW	1	Aztreonam	PMS	0.06	15	F8A150
Procaine-Gentamicin-EC_BW-rep1	EC_BW	1	Gentamicin	Procaine	2	11000	F8A151
Puromycin-Fosfomycin-EC_BW-rep1	EC_BW	1	Fosfomycin	Puromycin	0.2	30	F8A152
Pyocyanin-Ciprofloxacin-EC_BW-rep1	EC_BW	1	Ciprofloxacin	Pyocyanin	0.015	10	F8A153
Vanillin-Aztreonam-EC_BW-rep1	EC_BW	1	Aztreonam	Vanillin	0.06	200	F8A154
Vanillin-Ciprofloxacin-EC_BW-rep1	EC_BW	1	Ciprofloxacin	Vanillin	0.015	200	F8A155
Fosfomycin-Procaine-EC_iAi1-rep1	EC_iAi1	1	Procaine	Fosfomycin	11000	0.2	FFB836
Imipenem-Cefotaxime-EC_iAi1-rep1	EC_iAi1	1	Cefotaxime	Imipenem	0.04	0.25	FFB837
Vanillin-Novobiocin-EC_iAi1-rep1	EC_iAi1	1	Novobiocin	Vanillin	40	200	FFB838
Mitomycin C-Procaine-EC_iAi1-rep1	EC_iAi1	1	Procaine	Mitomycin C	11000	0.8	FFB839
Amikacin-PMS-EC_iAi1-rep1	EC_iAi1	1	PMS	Amikacin	15	1	FFB840
Erythromycin-Cefaclor-EC_iAi1-rep1	EC_iAi1	1	Cefaclor	Erythromycin	2	30	FFB841
Erythromycin-Loperamide-EC_iAi1-rep1	EC_iAi1	1	Loperamide	Erythromycin	300	30	FFB842
Penicillin G-Cefsulodin-EC_iAi1-rep1	EC_iAi1	1	Cefsulodin	Penicillin G	40	50	FFB843
Sulfamonomethoxine-Levofloxacin-EC_iAi1-rep1	EC_iAi1	1	Levofloxacin	Sulfamonomethoxine	0.063	100	FFB844
Cerulenin-Rifampicin-EC_iAi1-rep1	EC_iAi1	1	Rifampicin	Cerulenin	15	10	FFB845
Doxycycline-Erythromycin-EC_iAi1-rep1	EC_iAi1	1	Erythromycin	Doxycycline	30	0.75	FFB846
Novobiocin-Cefaclor-EC_iAi1-rep1	EC_iAi1	1	Cefaclor	Novobiocin	2	40	FFB847
Cefotaxime-Clarithromycin-EC_iAi1-rep1	EC_iAi1	1	Clarithromycin	Cefotaxime	80	0.04	FFB848
Doxycycline-Minocycline-EC_iAi1-rep1	EC_iAi1	1	Minocycline	Doxycycline	1	0.75	FFB849
Nitrofurantoin-Levofloxacin-EC_iAi1-rep1	EC_iAi1	1	Levofloxacin	Nitrofurantoin	0.063	8	FFB850
Nitrofurantoin-Minocycline-EC_iAi1-rep1	EC_iAi1	1	Minocycline	Nitrofurantoin	1	8	FFB851
Paraquat-Cycloserine D-EC_iAi1-rep1	EC_iAi1	1	Cycloserine D	Paraquat	15	7	FFB852
Piperacillin-Procaine-EC_iAi1-rep1	EC_iAi1	1	Procaine	Piperacillin	11000	0.9	FFB853
Pyocyanin-PMS-EC_iAi1-rep1	EC_iAi1	1	PMS	Pyocyanin	15	10	FFB854
Reserpine-Levofloxacin-EC_iAi1-rep1	EC_iAi1	1	Levofloxacin	Reserpine	0.063	200	FFB855
Vanillin-Minocycline-EC_iAi1-rep1	EC_iAi1	1	Minocycline	Vanillin	1	200	FFB856
Amoxicillin-Cefotaxime-EC_iAi1-rep1	EC_iAi1	1	Cefotaxime	Amoxicillin	0.04	2	FFB857
Ciprofloxacin-Procaine-EC_iAi1-rep1	EC_iAi1	1	Procaine	Ciprofloxacin	11000	0.015	FFB858
