Combination	bug	Horiz_drug	Vert_drug	Horiz_startC	Vert_startC	Color	Replicate
Azithromycin_Colistin_EC1027_1	EC1027	Colistin	Azithromycin	1	10	F8A100	1
Azithromycin_Colistin_EC1027_2	EC1027	Colistin	Azithromycin	1	10	F8A100	2
Azithromycin_Colistin_EC124_1	EC124	Colistin	Azithromycin	1	10	F8A100	1
Azithromycin_Colistin_EC124_2	EC124	Colistin	Azithromycin	1	10	F8A100	2
Azithromycin_Colistin_EC1334_1	EC1334	Colistin	Azithromycin	1	10	F8A100	1
Azithromycin_Colistin_EC1334_2	EC1334	Colistin	Azithromycin	1	10	F8A100	2
Azithromycin_Colistin_EC1531_1	EC1531	Colistin	Azithromycin	1	10	F8A100	1
Azithromycin_Colistin_EC1531_2	EC1531	Colistin	Azithromycin	1	10	F8A100	2
Azithromycin_Colistin_KP718_1	KP718	Colistin	Azithromycin	1.5	10	27559A	1
Azithromycin_Colistin_KP718_2	KP718	Colistin	Azithromycin	1.5	10	27559A	2
Azithromycin_Colistin_KP929_1	KP929	Colistin	Azithromycin	6	10	27559A	1
Azithromycin_Colistin_KP929_2	KP929	Colistin	Azithromycin	6	10	27559A	2
Azithromycin_Colistin_KP980_1	KP980	Colistin	Azithromycin	1.5	10	27559A	1
Azithromycin_Colistin_KP980_2	KP980	Colistin	Azithromycin	1.5	10	27559A	2
Clarithromycin_Colistin_EC1027_1	EC1027	Colistin	Clarithromycin	1	50	F8A100	1
Clarithromycin_Colistin_EC1027_2	EC1027	Colistin	Clarithromycin	1	50	F8A100	2
Clarithromycin_Colistin_EC124_1	EC124	Colistin	Clarithromycin	1	50	F8A100	1
Clarithromycin_Colistin_EC124_2	EC124	Colistin	Clarithromycin	1	50	F8A100	2
Clarithromycin_Colistin_EC1334_1	EC1334	Colistin	Clarithromycin	1	50	F8A100	1
Clarithromycin_Colistin_EC1334_2	EC1334	Colistin	Clarithromycin	1	50	F8A100	2
Clarithromycin_Colistin_EC1531_1	EC1531	Colistin	Clarithromycin	1	50	F8A100	1
Clarithromycin_Colistin_EC1531_2	EC1531	Colistin	Clarithromycin	1	50	F8A100	2
Clarithromycin_Colistin_KP718_1	KP718	Colistin	Clarithromycin	1.5	50	27559A	1
Clarithromycin_Colistin_KP718_2	KP718	Colistin	Clarithromycin	1.5	50	27559A	2
Clarithromycin_Colistin_KP929_1	KP929	Colistin	Clarithromycin	6	50	27559A	1
Clarithromycin_Colistin_KP929_2	KP929	Colistin	Clarithromycin	6	50	27559A	2
Clarithromycin_Colistin_KP980_1	KP980	Colistin	Clarithromycin	1.5	50	27559A	1
Clarithromycin_Colistin_KP980_2	KP980	Colistin	Clarithromycin	1.5	50	27559A	2
Erythromycin_Colistin_EC1027_1	EC1027	Colistin	Erythromycin	1	30	F8A100	1
Erythromycin_Colistin_EC1027_2	EC1027	Colistin	Erythromycin	1	30	F8A100	2
Erythromycin_Colistin_EC124_1	EC124	Colistin	Erythromycin	1	30	F8A100	1
Erythromycin_Colistin_EC124_2	EC124	Colistin	Erythromycin	1	30	F8A100	2
Erythromycin_Colistin_EC1334_1	EC1334	Colistin	Erythromycin	1	30	F8A100	1
Erythromycin_Colistin_EC1334_2	EC1334	Colistin	Erythromycin	1	30	F8A100	2
