Ecoli_BW-Min	Ecoli_iAi1-Min	ST_LT2-Min	ST_14028-Min	PA_01-Min	PA_14-Min
Amoxicillin	0.446431158496371	0	0.84466376653682	0.761520494242129	0.885519003838671	0.920649121878434
Oxacillin	0.780515514519144	0.826708682437941	0.854784598606903	0.863026834272053	0.876589947850632	0.932729269113494
Cefotaxime	0.57207058498644	0.392579739617319	0.714096037881219	0.788451289389417	0	0.75734741405372
Cefaclor	0.472423086853501	0.548039071589096	0	0	0.897777945352909	0.918389963873916
Cefsulodin	0.623625671981446	0.855193473069803	0.823236881131833	0.893288428194684	0	0
Piperacillin	0.797602395770338	0.678280939210604	0.597246500123428	0.624266826412616	0	0
Penicillin G	0.804662362419342	0.671062247386573	0.621436800190832	0.62260351505102	0.928527106361747	0.9071890013724
Imipenem	0.279952710755265	0.439514864235475	0.0677970546714684	0	0	0
Meropenem	0.0856257316586248	0.124814315437843	0	0	0	0
Mecillinam	0	0	0	0	0.897113071258926	0.907574167878104
Aztreonam	0	0	0	0	0	0
Cephalexin	0.841347149964945	0.878079996257341	0.858627909690263	0.873956064745452	0.896191983848008	0.899327996241019
A22	0	0.305595040483921	0.554595588774317	0.505250778197628	0.8501084850725	0.52119783375502
Cycloserine D	0.580457789541241	0.668172860211879	0.8916556505404	0	0.862195189863261	0.843941695584013
Teicoplanin	0.878378350725322	0.880676138162454	0.852367826072666	0.870760835046988	0.823067855879063	0.83111806672484
Bacitracin	0.733554851447795	0.79201448079987	0.830747912495599	0.777046819160784	0.896044113252421	0.908962946855614
Fosfomycin	0.394591799137495	0.487457223707941	0.653400764815406	0.770733370938184	0	0
Metronidazole	0.813379764957942	0.861627462902188	0.846274662654109	0.853802835501034	0.85977273674275	0.853184495894739
Clofazimine	0.882176630670484	0.896018493741544	0.898356097508584	0.90251571219938	0.816450172464131	0.828438423647371
Doxorubicin	0.806930754352699	0.859251215031864	0.806775363286803	0.837540088757267	0.895730528621684	0.906649628609869
Mitomycin C	0.344038398835612	0	0.331591278967062	0.544698944837398	0.404124518584976	0
Rifampicin	0.407412474416422	0	0.166397398665195	0	0	0.868171042915014
Ciprofloxacin	0	0	0	0	0	0
Novobiocin	0.45225351765121	0	0.848949869053884	0.278389254863998	0.86347787258859	0.911153635869586
Levofloxacin	0	0	0	0	0	0
Moxifloxacin	0	0.0387140636433962	0.642706102134543	0	0.964909386977318	0.666112177247259
Trimethoprim	0.490122237995936	0.455538885995455	0.532753669777068	0.45903596041571	0.833843327588702	0.854677103827701
Sulfamonomethoxine	0.877213507704864	0.880342322755571	0.854347398485883	0.882084317037732	0.769052212791075	0.811314277749929
Nitrofurantoin	0.548103840310232	0.40331717892568	0.754433607284235	0.807282853108285	0.354276470992615	0.711870950016729
Bleomycin	0.339587261506045	0.281107896631869	0.468755771185788	0.767559970366988	0.91137402514755	0.882705857564168
Phleomycin	0.168352354084827	0.157172059867798	0	0.537609593271687	1	0.995655412164905
Polymyxin B	0.286076048269031	0.786486831319356	0.838690808799682	0.84987587244655	0.76271570703277	0.077942158732287
Chlorhexidine	0	0.115771854996865	0.848468200153832	0.834051407775753	0	0
Colistin	0.841018029517363	0.971076935560859	0.990420619647579	0.91738357749138	0	0
CHIR-90	0	0.18148831038607	0	0.448028386441467	0.994507431899768	0
Triclosan	0.995913550148671	0.996246596766276	0.977042289978484	1	0.967352756270659	0.992023705591884
Benzalkonium	0	0	0.651168468673748	0.697386286233506	0	0
EGCG	0.79946932630133	0.758345530243293	0.879908562812142	0.797743111938762	0.460436214577294	0.703968527258412
Cerulenin	0.803175524376962	0.812989247500037	0.79658225832992	0.840839358382575	0.892464266647832	0.856262499731288
Nisin	0.825405671486236	0.915079641918917	0.84902313840604	0.873659788523076	0.843083474439066	0.881787941875331
Daptomycin	0.843071587831241	0.893141746091579	0.881334135502264	0.900624330902264	0.883836078386131	0.898756115104009
CCCP	0.260431570197438	0.0396772536063565	0.606969393280986	0.367125294863085	0.851396723652278	0.852874138304339
Nonactin	0.883809204347455	0.89258037001948	0.929865346653168	0.909485888621979	0.805616684384484	0.82829208630658
PMS	0.457730119410532	0	0.702953530116812	0.679341557338021	NA	NA
Pyocyanin	0.254613717285745	0	0.686167915751757	0.813025553087447	NA	NA
Pseudomonic acid	0.711552728786968	0.601861673437576	0.716609235087729	0.843353461051267	NA	NA
Paraquat	0.75857504616996	0.751101401306425	0.82335058700196	0.831922941048884	0.870410750572526	0.860434081731337
Fusidic acid	0.556428870208305	0.427699215279403	0.861056312069791	0.732652091065439	0.830219748747717	0.844013152983378
Puromycin	0.634311136738927	0	0.779460779425399	0.716681472840836	0.78301149823054	0.765914969310688
Chloramphenicol	0.50522252760272	0	0.625370615579785	0.629321837261052	0.871390452441768	0
Linezolid	0.884570685334148	0.876742278631132	0.845794005315922	0.888065955675416	0.799255483431028	0.831450930431831
Clindamycin	0.775029369027285	0.76390439344753	0.595657017665433	0.642227996736911	0.874734361865446	0.899665858474083
Doxycycline	0.422144592612264	0	0.54819000814657	0.403297274710595	0.847607109519832	0.495552498538771
Minocycline	0.697200004618357	0.660265678084863	0.818932064631227	0.706469423062742	0	0
Tigecycline	0.841248671949431	0.894349958334318	0.880370114522856	0.877827859876392	0.718418023148107	0.866650627568798
Spectinomycin	0.507239447954604	0.534479320395011	0.576904266030155	0.65927187900442	0.723592157024522	0.671766913153971
Amikacin	0	0.774629232436818	0.36189904697526	0.717937795160116	0	0
Tobramycin	0	0.829479560602302	0	0.850723916845729	0	0
Gentamicin	0.00652364965229273	0.671967869009094	0	0.496288490673524	0	0
Spiramycin	0.734766304998143	0.788700030413778	0.797309281278451	0.844350064011149	0.861039671858366	0.884730796016059
Erythromycin	0.542076629233883	0.648141499896648	0.515598693028183	0.490115602312546	0.611429127875309	0.594132178708164
Clarithromycin	0.445374341456572	0.573732061244524	0.604976063996335	0.541018733347822	0.361137531054389	0.442159252927119
Azithromycin	0.507417238495173	0.613725210157788	0.340767644656347	0.530971541274774	0.728067512764489	0.554531256150994
Flucytosine	NA	NA	NA	NA	0.778517319484571	0.906781661811324
Caffeine	0.847744612362351	0.878029169663974	0.837986946211709	0.860122790306532	0.849411945682886	0.85355517792081
Curcumin	0.886080538027159	0.913951657836685	0.99415788429156	0.997291716710513	0.545750128601054	0.7737321381683
Berberine	0.795116791508839	0.846160473729681	0.901645192675973	0.893185726218643	0.758840793594083	0.879239166460487
Vanillin	0.849098796581112	0.84729965655758	0.856227952406381	0.790071278065232	0.690745407374565	0.745232443481545
Reserpine	0.855272414353481	0.903077896640554	0.88086879530702	0.871889316615147	0.735806163778026	0.838062003313266
Procaine	0.416518251751121	0.497804022183832	0.396448918656848	0.255168798785496	0.199777184681188	0.380347502188385
Theophylline	0.865461388201944	0.895450971592907	0.868278146202235	0.867838969615827	0.890783166888719	0.905603340541883
Loperamide	0.587242484777674	0.663477205420127	0.824212571440489	0.847090017781537	0.707473112048152	0.793769111683724
Verapamil	0.866984196042139	0.804552940660268	0.848541441917416	0.86418562896631	0.780687792072235	0.83063573013918
Metformin	0.539125441506344	0.273698625551552	0.667303358741881	0.632401868069999	0.479677729237645	0.575917341995816
Phenformin	0.950836020666028	0.998328483773234	0.995834209024247	1	1	0
Streptozotocin	0.835173617601801	0.785320770114742	0.55104372153928	0.704209104017575	1	0.975112147106067
Diclofenac	0.968436546878816	0.972143838351222	0.972451210095752	0.989907475459562	0.961566468792696	0.994218305864438
Acetylsalisylic acid	0.680839996732499	0.753784901388423	0.669760625359429	0.887759047902292	0.784115332941778	0.842206844600293
Ciclopirox	0.272398201868441	0.145022879001357	0.296564919100219	0.271408682221036	0.577896820365908	0.749482349143798
