Complete_p_val	Pos_pot	Antag_p_val	Neg_pot	Syn_p_val
Amoxicillin_Chloramphenicol	0.986501349865013	40	0.994300569943006	48	0.985501449855015
Amoxicillin_Ciprofloxacin	0.289471052894711	42	0.402759724027597	37	0.292770722927707
Amoxicillin_Cycloserine D	9.99900009999e-05	28	0.0002999700029997	48	9.99900009999e-05
Amoxicillin_Doxycycline	0.0055994400559944	42	0.0052994700529947	48	0.004999500049995
Amoxicillin_Spectinomycin	0.0324967503249675	36	0.0031996800319968	45	0.0332966703329667
Amoxicillin_Fosfomycin	9.99900009999e-05	39	9.99900009999e-05	45	9.99900009999e-05
Amoxicillin_Oxacillin	9.99900009999e-05	53	9.99900009999e-05	66	9.99900009999e-05
Amoxicillin_Novobiocin	0.821717828217178	36	0.825017498250175	48	0.814018598140186
Amoxicillin_Bacitracin	0.972202779722028	27	0.987401259874013	48	0.973302669733027
Amoxicillin_Polymyxin B	0.76042395760424	36	0.867613238676132	48	0.758524147585241
Amoxicillin_Fusidic acid	0.961803819618038	35	0.950804919508049	48	0.962403759624038
Amoxicillin_Amikacin	0.0001999800019998	58	0.0061993800619938	58	9.99900009999e-05
Amoxicillin_Cefotaxime	9.99900009999e-05	57	9.99900009999e-05	66	9.99900009999e-05
Amoxicillin_PMS	0.341165883411659	33	0.228077192280772	42	0.351064893510649
Amoxicillin_Benzalkonium	0.0706929307069293	38	0.0947905209479052	46	0.0465953404659534
Amoxicillin_Cefaclor	9.99900009999e-05	49	9.99900009999e-05	62	9.99900009999e-05
Amoxicillin_Cefsulodin	9.99900009999e-05	43	9.99900009999e-05	62	9.99900009999e-05
Amoxicillin_Clindamycin	0.939406059394061	37	0.843315668433157	48	0.937406259374063
Amoxicillin_Spiramycin	0.712228777122288	31	0.700729927007299	48	0.711728827117288
Amoxicillin_Erythromycin	0.896810318968103	39	0.917508249175082	48	0.897910208979102
Amoxicillin_Trimethoprim	9.99900009999e-05	44	9.99900009999e-05	48	9.99900009999e-05
Amoxicillin_Sulfamonomethoxine	0.861913808619138	23	0.977202279772023	48	0.858914108589141
Amoxicillin_Paraquat	0.916308369163084	35	0.891810818918108	48	0.918908109189081
Amoxicillin_Procaine	9.99900009999e-05	57	9.99900009999e-05	66	9.99900009999e-05
Amoxicillin_Vanillin	0.003999600039996	26	9.99900009999e-05	48	0.0041995800419958
Amoxicillin_Verapamil	0.72042795720428	23	0.977002299770023	48	0.715328467153285
Amoxicillin_Levofloxacin	0.869413058694131	54	0.869113088691131	18	0.903909609039096
Amoxicillin_Piperacillin	9.99900009999e-05	36	0.001999800019998	54	9.99900009999e-05
