Complete_p_val	Pos_pot	Antag_p_val	Neg_pot	Syn_p_val
Amoxicillin_Chloramphenicol	0.986501349865013	48	0.984301569843016	48	0.985501449855015
Amoxicillin_Ciprofloxacin	0.286971302869713	48	0.281771822817718	48	0.292870712928707
Amoxicillin_Cycloserine D	9.99900009999e-05	48	9.99900009999e-05	48	9.99900009999e-05
Amoxicillin_Doxycycline	0.0052994700529947	48	0.0055994400559944	48	0.004999500049995
Amoxicillin_Spectinomycin	0.0343965603439656	45	0.0314968503149685	45	0.0322967703229677
Amoxicillin_Fosfomycin	9.99900009999e-05	45	9.99900009999e-05	45	9.99900009999e-05
Amoxicillin_Oxacillin	9.99900009999e-05	66	9.99900009999e-05	66	9.99900009999e-05
Amoxicillin_Novobiocin	0.814418558144186	48	0.813218678132187	48	0.816018398160184
Amoxicillin_Bacitracin	0.971902809719028	48	0.974602539746025	48	0.970502949705029
Amoxicillin_Polymyxin B	0.757524247575243	48	0.762123787621238	48	0.762123787621238
Amoxicillin_Fusidic acid	0.963503649635037	48	0.965203479652035	48	0.963803619638036
Amoxicillin_Amikacin	0.0002999700029997	66	0.0001999800019998	66	0.0001999800019998
Amoxicillin_Cefotaxime	9.99900009999e-05	66	9.99900009999e-05	66	9.99900009999e-05
Amoxicillin_PMS	0.344065593440656	42	0.342765723427657	42	0.35956404359564
Amoxicillin_Benzalkonium	0.0693930606939306	52	0.0702929707029297	52	0.0682931706829317
Amoxicillin_Cefaclor	9.99900009999e-05	62	9.99900009999e-05	62	9.99900009999e-05
Amoxicillin_Cefsulodin	9.99900009999e-05	62	9.99900009999e-05	62	9.99900009999e-05
Amoxicillin_Clindamycin	0.937006299370063	48	0.940605939406059	48	0.942205779422058
Amoxicillin_Spiramycin	0.718528147185281	48	0.721327867213279	48	0.722627737226277
Amoxicillin_Erythromycin	0.9001099890011	48	0.898310168983102	48	0.896710328967103
Amoxicillin_Trimethoprim	9.99900009999e-05	48	9.99900009999e-05	48	9.99900009999e-05
Amoxicillin_Sulfamonomethoxine	0.863213678632137	48	0.861213878612139	48	0.866913308669133
Amoxicillin_Paraquat	0.917508249175082	48	0.92030796920308	48	0.910708929107089
Amoxicillin_Procaine	9.99900009999e-05	66	9.99900009999e-05	66	9.99900009999e-05
Amoxicillin_Vanillin	0.0042995700429957	48	0.0036996300369963	48	0.0046995300469953
Amoxicillin_Verapamil	0.70972902709729	48	0.726827317268273	48	0.715228477152285
Amoxicillin_Levofloxacin	0.870812918708129	54	0.86041395860414	54	0.871412858714129
Amoxicillin_Piperacillin	9.99900009999e-05	54	9.99900009999e-05	54	9.99900009999e-05
Amoxicillin_Nitrofurantoin	0.891510848915108	54	0.887211278872113	54	0.889211078892111
Amoxicillin_CCCP	0.88981101889811	66	0.893810618938106	66	0.890910908909109
Amoxicillin_Cephalexin	0.414058594140586	54	0.424257574242576	54	0.413458654134587
Amoxicillin_Mecillinam	9.99900009999e-05	69	9.99900009999e-05	69	9.99900009999e-05
Amoxicillin_A22	0.0028997100289971	72	0.0031996800319968	72	0.0032996700329967
Amoxicillin_Loperamide	0.953804619538046	72	0.957804219578042	72	0.958904109589041
Amoxicillin_Minocycline	0.175282471752825	72	0.171082891710829	72	0.162183781621838
Amoxicillin_Tobramycin	0.0488951104889511	51	0.0474952504749525	51	0.0514948505149485
Amoxicillin_Teicoplanin	0.889111088891111	54	0.886211378862114	54	0.883511648835116
Amoxicillin_Chlorhexidine	0.951204879512049	69	0.952104789521048	69	0.953304669533047
Amoxicillin_Metronidazole	0.750824917508249	54	0.752724727527247	54	0.742825717428257
Amoxicillin_Nisin	0.438556144385561	54	0.428957104289571	54	0.44035596440356
Amoxicillin_EGCG	0.769223077692231	54	0.773922607739226	54	0.752824717528247
Amoxicillin_Rifampicin	0.991100889911009	51	0.989301069893011	51	0.989301069893011
Amoxicillin_Aztreonam	9.99900009999e-05	48	9.99900009999e-05	48	9.99900009999e-05
Amoxicillin_Penicillin G	0.118488151184882	54	0.115288471152885	54	0.116188381161884
Amoxicillin_Theophylline	0.943205679432057	48	0.946705329467053	48	0.945105489451055
Amoxicillin_Clofazimine	0.584941505849415	54	0.581841815818418	54	0.581641835816418
Amoxicillin_Clarithromycin	0.805119488051195	54	0.8001199880012	54	0.800919908009199
Amoxicillin_Caffeine	0.0012998700129987	54	0.0006999300069993	54	0.0013998600139986
Amoxicillin_Reserpine	0.439456054394561	54	0.438956104389561	54	0.431856814318568
Amoxicillin_Puromycin	0.0896910308969103	54	0.0905909409059094	54	0.0908909109089091
Amoxicillin_Pyocyanin	9.99900009999e-05	54	9.99900009999e-05	54	9.99900009999e-05
Amoxicillin_Pseudomonic acid	0.378662133786621	54	0.375062493750625	54	0.37046295370463
Amoxicillin_Nonactin	0.163383661633837	54	0.161683831616838	54	0.162383761623838
Amoxicillin_Imipenem	0.0667933206679332	54	0.0660933906609339	54	0.0611938806119388
Amoxicillin_Bleomycin	0.0601939806019398	54	0.0586941305869413	54	0.0594940505949405
Amoxicillin_Linezolid	0.617538246175382	54	0.611838816118388	54	0.613138686131387
Amoxicillin_Doxorubicin	0.96010398960104	54	0.957804219578042	54	0.959104089591041
Amoxicillin_Daptomycin	0.203479652034797	54	0.204379562043796	54	0.206179382061794
