Complete_p_val	Pos_pot	Antag_p_val	Neg_pot	Syn_p_val
Amoxicillin_Chloramphenicol	0.520847915208479	38	0.906209379062094	26	0.0121987801219878
Amoxicillin_Ciprofloxacin	0.448555144485551	29	0.763623637636236	24	0.523747625237476
Amoxicillin_Cycloserine D	0.173082691730827	20	0.907009299070093	36	0.0028997100289971
Amoxicillin_Doxycycline	0.108189181081892	41	0.306869313068693	24	0.0092990700929907
Amoxicillin_Spectinomycin	0.0327967203279672	29	0.443255674432557	36	0.0130986901309869
Amoxicillin_Fosfomycin	0.0044995500449955	37	0.28997100289971	36	9.99900009999e-05
Amoxicillin_Oxacillin	9.99900009999e-05	30	0.0004999500049995	48	9.99900009999e-05
Amoxicillin_Novobiocin	0.666633336666333	51	0.261573842615738	34	0.63023697630237
Amoxicillin_Bacitracin	0.985701429857014	17	0.938306169383062	32	0.938606139386061
Amoxicillin_Polymyxin B	0.967003299670033	22	0.934406559344066	36	0.966303369663034
Amoxicillin_Fusidic acid	0.697030296970303	28	0.807419258074193	34	0.515748425157484
Amoxicillin_Amikacin	0.927207279272073	30	0.266173382661734	48	0.984401559844016
Amoxicillin_Cefotaxime	9.99900009999e-05	41	0.0004999500049995	48	9.99900009999e-05
Amoxicillin_PMS	0.101189881011899	40	0.066993300669933	30	0.334566543345665
Amoxicillin_Benzalkonium	0.181381861813819	42	0.931606839316068	30	0.0001999800019998
Amoxicillin_Cefaclor	9.99900009999e-05	33	0.0004999500049995	48	9.99900009999e-05
Amoxicillin_Cefsulodin	9.99900009999e-05	25	0.136586341365863	48	9.99900009999e-05
Amoxicillin_Clindamycin	0.718928107189281	23	0.965703429657034	36	0.290670932906709
Amoxicillin_Spiramycin	0.394560543945605	20	0.95970402959704	36	0.358964103589641
Amoxicillin_Erythromycin	0.989001099890011	35	0.441055894410559	48	0.861413858614139
Amoxicillin_Trimethoprim	0.0186981301869813	65	0.0767923207679232	48	0.26967303269673
Amoxicillin_Sulfamonomethoxine	0.714928507149285	18	0.5998400159984	36	0.927207279272073
Amoxicillin_Paraquat	0.271572842715728	21	0.794820517948205	36	0.19018098190181
Amoxicillin_Procaine	9.99900009999e-05	41	9.99900009999e-05	48	0.0041995800419958
Amoxicillin_Vanillin	9.99900009999e-05	19	9.99900009999e-05	36	0.030996900309969
Amoxicillin_Verapamil	0.873112688731127	18	0.519048095190481	36	0.271072892710729
Amoxicillin_Levofloxacin	0.298270172982702	43	0.221977802219778	16	0.802319768023198
Amoxicillin_Piperacillin	9.99900009999e-05	23	0.620937906209379	36	9.99900009999e-05
Amoxicillin_Nitrofurantoin	0.693830616938306	27	0.977502249775023	36	0.214678532146785
Amoxicillin_CCCP	0.858114188581142	46	0.915408459154085	49	0.407059294070593
Amoxicillin_Cephalexin	0.620837916208379	18	0.972402759724028	42	0.165783421657834
Amoxicillin_Mecillinam	0.154884511548845	67	0.126087391260874	12	0.0022997700229977
Amoxicillin_A22	0.198080191980802	43	0.00999900009999	51	0.50954904509549
Amoxicillin_Loperamide	0.657734226577342	25	0.993900609939006	54	0.876712328767123
Amoxicillin_Minocycline	0.297270272972703	29	0.994400559944006	54	0.0751924807519248
Amoxicillin_Tobramycin	0.848815118488151	18	0.992500749925007	36	0.80971902809719
Amoxicillin_Teicoplanin	0.344065593440656	18	0.999000099990001	36	0.263573642635736
Amoxicillin_Chlorhexidine	0.8996100389961	36	0.937506249375062	36	0.952404759524048
Amoxicillin_Metronidazole	0.727627237276272	19	0.944305569443056	36	0.345865413458654
Amoxicillin_Nisin	0.951104889511049	18	0.831116888311169	36	0.588941105889411
Amoxicillin_EGCG	0.262573742625737	17	0.217178282171783	28	0.608839116088391
Amoxicillin_Rifampicin	0.0004999500049995	34	0.0061993800619938	21	0.262173782621738
Amoxicillin_Aztreonam	9.99900009999e-05	43	0.0037996200379962	24	9.99900009999e-05
Amoxicillin_Penicillin G	0.0045995400459954	25	0.923607639236076	36	9.99900009999e-05
Amoxicillin_Theophylline	0.778422157784222	18	0.351364863513649	36	0.983601639836016
Amoxicillin_Clofazimine	0.836016398360164	18	0.88001199880012	36	0.928107189281072
Amoxicillin_Clarithromycin	0.411158884111589	36	0.338666133386661	36	0.398360163983602
Amoxicillin_Caffeine	0.512648735126487	19	0.989501049895011	36	0.409159084091591
Amoxicillin_Reserpine	0.979202079792021	18	0.505649435056494	36	0.874712528747125
Amoxicillin_Puromycin	0.487651234876512	30	0.376362363763624	27	0.92990700929907
Amoxicillin_Pyocyanin	0.733626637336266	54	0.737226277372263	28	0.45975402459754
Amoxicillin_Pseudomonic acid	0.971702829717028	31	0.944705529447055	36	0.748325167483252
Amoxicillin_Nonactin	0.574442555744426	18	0.894610538946105	36	0.695230476952305
Amoxicillin_Imipenem	0.265373462653735	25	0.42985701429857	34	0.168683131686831
Amoxicillin_Bleomycin	0.987501249875013	39	0.98960103989601	30	0.98000199980002
Amoxicillin_Linezolid	0.0532946705329467	18	0.529447055294471	36	0.206679332066793
Amoxicillin_Doxorubicin	0.294170582941706	21	0.959204079592041	36	0.106089391060894
Amoxicillin_Daptomycin	0.0202979702029797	24	0.422357764223578	48	0.14018598140186
Amoxicillin_Cerulenin	0.483151684831517	18	0.99010098990101	36	0.467353264673533
Amoxicillin_Tigecycline	0.0994900509949005	24	0.171382861713829	48	0.547145285471453
Amoxicillin_Mitomycin C	0.0010998900109989	54	0.000999900009999	15	0.0836916308369163
Amoxicillin_Meropenem	0.401659834016598	10	0.990800919908009	8	0.388861113888611
Amoxicillin_Colistin	0.728927107289271	6	0.0005999400059994	12	0.958604139586041
Amoxicillin_Metformin	0.262573742625737	18	0.258974102589741	8	0.93010698930107
Amoxicillin_Phenformin	0.916008399160084	6	0.99040095990401	12	0.947605239476052
Amoxicillin_Azithromycin	0.0315968403159684	15	0.0303969603039696	12	0.533246675332467
Amoxicillin_Curcumin	0.0007999200079992	6	0.000999900009999	12	0.28967103289671
Amoxicillin_Berberine	0.0004999500049995	7	0.0006999300069993	12	0.12998700129987
Amoxicillin_Diclofenac	0.876012398760124	6	0.987901209879012	12	0.884711528847115
Amoxicillin_Acetylsalisylic acid	0.966503349665033	14	0.998000199980002	24	0.97020297970203
Amoxicillin_Ciclopirox	0.687231276872313	10	0.914908509149085	8	0.893010698930107
Amoxicillin_Triclosan	0.0827917208279172	6	0.416258374162584	12	0.317168283171683
Amoxicillin_CHIR-90	0.994200579942006	14	0.650934906509349	8	0.997700229977002
Amoxicillin_Phleomycin	0.197880211978802	18	0.203279672032797	8	0.93000699930007
Amoxicillin_Moxifloxacin	0.262173782621738	14	0.544545545445455	8	0.987101289871013
Amoxicillin_Gentamicin	0.183681631836816	10	0.87011298870113	12	0.947905209479052
Amoxicillin_Streptozotocin	0.0927907209279072	8	0.925307469253075	12	0.192280771922808
Chloramphenicol_Ciprofloxacin	0.0222977702229777	24	0.0083991600839916	16	0.422457754224578
Chloramphenicol_Cycloserine D	0.222277772222778	20	0.0286971302869713	24	0.44025597440256
Chloramphenicol_Doxycycline	0.888211178882112	32	0.882811718828117	16	0.943805619438056
Chloramphenicol_Spectinomycin	0.384861513848615	22	0.86001399860014	24	0.142285771422858
Chloramphenicol_Fosfomycin	9.99900009999e-05	26	9.99900009999e-05	22	9.99900009999e-05
Chloramphenicol_Oxacillin	0.952604739526047	27	0.996800319968003	39	0.963103689631037
Chloramphenicol_Novobiocin	0.402959704029597	41	0.515048495150485	23	0.717828217178282
Chloramphenicol_Bacitracin	0.751224877512249	14	0.904909509049095	20	0.882211778822118
Chloramphenicol_Polymyxin B	0.97960203979602	18	0.96970302969703	24	0.923107689231077
Chloramphenicol_Fusidic acid	9.99900009999e-05	24	0.0301969803019698	24	9.99900009999e-05
Chloramphenicol_Amikacin	0.953504649535047	27	0.825417458254175	39	0.967003299670033
Chloramphenicol_Cefotaxime	0.923207679232077	36	0.892810718928107	38	0.614338566143386
Chloramphenicol_PMS	0.884111588841116	30	0.797520247975202	18	0.767723227677232
Chloramphenicol_Benzalkonium	0.942805719428057	39	0.936906309369063	24	0.985501449855015
Chloramphenicol_Cefaclor	0.39006099390061	33	0.623037696230377	39	0.0420957904209579
Chloramphenicol_Cefsulodin	0.903209679032097	27	0.987601239876012	39	0.44045595440456
Chloramphenicol_Clindamycin	0.94970502949705	18	0.892410758924108	24	0.99030096990301
Chloramphenicol_Spiramycin	0.533046695330467	18	0.745025497450255	24	0.465253474652535
Chloramphenicol_Erythromycin	0.85021497850215	34	0.754924507549245	39	0.937406259374063
Chloramphenicol_Trimethoprim	9.99900009999e-05	50	9.99900009999e-05	34	0.0001999800019998
Chloramphenicol_Sulfamonomethoxine	0.387761223877612	18	0.725427457254275	24	0.0658934106589341
Chloramphenicol_Paraquat	0.319368063193681	18	0.787821217878212	24	0.906109389061094
Chloramphenicol_Procaine	0.973902609739026	36	0.702929707029297	38	0.967703229677032
Chloramphenicol_Vanillin	9.99900009999e-05	18	9.99900009999e-05	24	0.0046995300469953
Chloramphenicol_Verapamil	0.951604839516048	18	0.881411858814119	24	0.953304669533047
Chloramphenicol_Levofloxacin	0.596040395960404	32	0.58954104589541	8	0.998200179982002
Chloramphenicol_Piperacillin	0.0167983201679832	20	0.725227477252275	24	9.99900009999e-05
Chloramphenicol_Nitrofurantoin	0.0157984201579842	20	0.34956504349565	24	0.0001999800019998
Chloramphenicol_CCCP	0.093990600939906	38	0.0253974602539746	33	0.129387061293871
Chloramphenicol_Cephalexin	0.861313868613139	15	0.930906909309069	30	0.841115888411159
Chloramphenicol_Mecillinam	0.0144985501449855	49	0.0095990400959904	7	0.608939106089391
Chloramphenicol_A22	0.0008999100089991	35	0.0003999600039996	40	0.0145985401459854
Chloramphenicol_Loperamide	0.833916608339166	26	0.791720827917208	44	0.952804719528047
Chloramphenicol_Minocycline	0.921407859214079	25	0.926307369263074	45	0.817618238176182
Chloramphenicol_Tobramycin	0.518948105189481	15	0.27977202279772	27	0.76982301769823
