Complete_p_val	Pos_pot	Antag_p_val	Neg_pot	Syn_p_val
Amoxicillin_Chloramphenicol	0.520847915208479	54	0.527847215278472	54	0.51954804519548
Amoxicillin_Ciprofloxacin	0.443155684431557	51	0.454954504549545	51	0.444355564443556
Amoxicillin_Cycloserine D	0.175882411758824	54	0.175182481751825	54	0.185281471852815
Amoxicillin_Doxycycline	0.113588641135886	51	0.107389261073893	51	0.11038896110389
Amoxicillin_Spectinomycin	0.0281971802819718	54	0.0326967303269673	54	0.0337966203379662
Amoxicillin_Fosfomycin	0.0042995700429957	54	0.0053994600539946	54	0.0047995200479952
Amoxicillin_Oxacillin	9.99900009999e-05	72	9.99900009999e-05	72	9.99900009999e-05
Amoxicillin_Novobiocin	0.674332566743326	72	0.661133886611339	72	0.667733226677332
Amoxicillin_Bacitracin	0.985501449855015	48	0.986601339866013	48	0.986401359864014
Amoxicillin_Polymyxin B	0.965503449655035	54	0.968403159684032	54	0.961303869613039
Amoxicillin_Fusidic acid	0.699030096990301	51	0.698330166983302	51	0.6997300269973
Amoxicillin_Amikacin	0.925007499250075	72	0.922507749225078	72	0.926707329267073
Amoxicillin_Cefotaxime	9.99900009999e-05	72	9.99900009999e-05	72	9.99900009999e-05
Amoxicillin_PMS	0.0975902409759024	54	0.0972902709729027	54	0.109089091090891
Amoxicillin_Benzalkonium	0.180681931806819	69	0.187181281871813	69	0.176982301769823
Amoxicillin_Cefaclor	9.99900009999e-05	72	9.99900009999e-05	72	9.99900009999e-05
Amoxicillin_Cefsulodin	9.99900009999e-05	72	9.99900009999e-05	72	9.99900009999e-05
Amoxicillin_Clindamycin	0.734026597340266	54	0.734926507349265	54	0.732826717328267
Amoxicillin_Spiramycin	0.392760723927607	54	0.391160883911609	54	0.389361063893611
Amoxicillin_Erythromycin	0.986601339866013	72	0.986701329867013	72	0.986201379862014
Amoxicillin_Trimethoprim	0.0185981401859814	72	0.0213978602139786	72	0.0207979202079792
Amoxicillin_Sulfamonomethoxine	0.711628837116288	54	0.71022897710229	54	0.712428757124288
Amoxicillin_Paraquat	0.278572142785721	54	0.276072392760724	54	0.284371562843716
Amoxicillin_Procaine	9.99900009999e-05	72	9.99900009999e-05	72	9.99900009999e-05
Amoxicillin_Vanillin	9.99900009999e-05	54	9.99900009999e-05	54	9.99900009999e-05
Amoxicillin_Verapamil	0.864813518648135	54	0.874312568743126	54	0.873712628737126
Amoxicillin_Levofloxacin	0.317768223177682	54	0.304169583041696	54	0.306969303069693
Amoxicillin_Piperacillin	9.99900009999e-05	54	9.99900009999e-05	54	9.99900009999e-05
Amoxicillin_Nitrofurantoin	0.686831316868313	54	0.689431056894311	54	0.685831416858314
Amoxicillin_CCCP	0.854014598540146	72	0.853414658534147	72	0.853014698530147
Amoxicillin_Cephalexin	0.618838116188381	54	0.615038496150385	54	0.617638236176382
Amoxicillin_Mecillinam	0.15008499150085	69	0.145785421457854	69	0.148485151484852
Amoxicillin_A22	0.197180281971803	72	0.205879412058794	72	0.190780921907809
Amoxicillin_Loperamide	0.663233676632337	72	0.657634236576342	72	0.64983501649835
Amoxicillin_Minocycline	0.284271572842716	72	0.291170882911709	72	0.294770522947705
Amoxicillin_Tobramycin	0.847115288471153	54	0.848915108489151	54	0.839416058394161
Amoxicillin_Teicoplanin	0.339366063393661	54	0.340765923407659	54	0.33956604339566
Amoxicillin_Chlorhexidine	0.904509549045096	72	0.898610138986101	72	0.902509749025098
Amoxicillin_Metronidazole	0.722927707229277	54	0.73002699730027	54	0.723727627237276
