Complete_p_val	Pos_pot	Antag_p_val	Neg_pot	Syn_p_val
Amoxicillin_Chloramphenicol	0.830916908309169	18	0.77992200779922	60	0.842515748425158
Amoxicillin_Ciprofloxacin	9.99900009999e-05	18	9.99900009999e-05	18	0.0693930606939306
Amoxicillin_Cycloserine D	0.781421857814219	0	NA	36	0.786621337866213
Amoxicillin_Doxycycline	0.882111788821118	19	0.855614438556144	36	0.880611938806119
Amoxicillin_Spectinomycin	0.958304169583042	6	0.956204379562044	36	0.958804119588041
Amoxicillin_Fosfomycin	0.987601239876012	9	0.341665833416658	30	0.969003099690031
Amoxicillin_Oxacillin	0.433156684331567	0	NA	36	0.432656734326567
Amoxicillin_Novobiocin	0.808019198080192	0	NA	54	0.803319668033197
Amoxicillin_Bacitracin	0.974902509749025	0	NA	36	0.974702529747025
Amoxicillin_Polymyxin B	0.988601139886011	6	0.0990900909909009	33	0.771822817718228
Amoxicillin_Fusidic acid	0.980501949805019	0	NA	36	0.978902109789021
Amoxicillin_Amikacin	0.0086991300869913	29	0.214078592140786	42	0.0001999800019998
Amoxicillin_Cefotaxime	0.036996300369963	0	NA	30	0.035996400359964
Amoxicillin_Benzalkonium	0.991800819918008	18	0.721527847215279	24	0.991400859914009
Amoxicillin_Cefaclor	0.62043795620438	0	NA	36	0.615438456154385
Amoxicillin_Cefsulodin	0.0695930406959304	0	NA	36	0.0730926907309269
Amoxicillin_Clindamycin	0.922807719228077	0	NA	36	0.921107889211079
Amoxicillin_Spiramycin	0.725327467253275	0	NA	36	0.713928607139286
Amoxicillin_Erythromycin	0.236576342365763	21	0.371062893710629	36	0.24027597240276
Amoxicillin_Trimethoprim	0.839316068393161	0	NA	36	0.847015298470153
Amoxicillin_Sulfamonomethoxine	0.593540645935406	0	NA	36	0.591340865913409
Amoxicillin_Paraquat	0.622637736226377	0	NA	36	0.625037496250375
Amoxicillin_Procaine	0.935906409359064	24	0.863113688631137	30	0.937106289371063
Amoxicillin_Vanillin	0.598740125987401	0	NA	36	0.603239676032397
Amoxicillin_Verapamil	0.927107289271073	0	NA	36	0.935006499350065
Amoxicillin_Levofloxacin	0.221277872212779	36	0.217978202179782	3	NA
Amoxicillin_Piperacillin	0.878312168783122	12	0.0157984201579842	24	0.902209779022098
Amoxicillin_Nitrofurantoin	0.957204279572043	1	NA	36	0.956004399560044
Amoxicillin_CCCP	0.776222377762224	0	NA	54	0.784721527847215
Amoxicillin_Cephalexin	0.769423057694231	0	NA	54	0.774822517748225
Amoxicillin_Mecillinam	0.945605439456054	0	NA	36	0.947205279472053
Amoxicillin_A22	9.99900009999e-05	16	0.0004999500049995	54	9.99900009999e-05
Amoxicillin_Loperamide	0.917008299170083	0	NA	36	0.914308569143086
Amoxicillin_Minocycline	0.823817618238176	50	0.859214078592141	12	0.0856914308569143
Amoxicillin_Tobramycin	0.891910808919108	18	0.84961503849615	36	0.704329567043296
Amoxicillin_Teicoplanin	0.520947905209479	0	NA	36	0.514748525147485
Amoxicillin_Chlorhexidine	0.0367963203679632	12	0.0015998400159984	30	0.187581241875812
Amoxicillin_Metronidazole	0.805119488051195	0	NA	36	0.801419858014199
Amoxicillin_Nisin	0.891810818918108	0	NA	36	0.888111188881112
Amoxicillin_EGCG	0.471452854714529	1	NA	36	0.471952804719528
Amoxicillin_Flucytosine	0.318268173182682	0	NA	36	0.313468653134687
Amoxicillin_Rifampicin	0.862713728627137	0	NA	36	0.867913208679132
Amoxicillin_Aztreonam	0.992400759924008	15	0.927907209279072	24	0.992000799920008
Amoxicillin_Penicillin G	0.791520847915208	0	NA	36	0.783021697830217
Amoxicillin_Theophylline	0.787721227877212	0	NA	36	0.787421257874213
Amoxicillin_Clofazimine	0.720827917208279	0	NA	36	0.710828917108289
Amoxicillin_Clarithromycin	0.167183281671833	32	0.296370362963704	36	0.162683731626837
Amoxicillin_Caffeine	0.945205479452055	0	NA	36	0.945805419458054
Amoxicillin_Reserpine	0.525847415258474	0	NA	36	0.521847815218478
Amoxicillin_Puromycin	0.974002599740026	0	NA	36	0.969503049695031
Amoxicillin_Nonactin	0.443755624437556	0	NA	36	0.449255074492551
Amoxicillin_Imipenem	0.375862413758624	24	0.918108189181082	36	0.177082291770823
Amoxicillin_Bleomycin	0.758724127587241	0	NA	36	0.755924407559244
Amoxicillin_Linezolid	0.958404159584042	0	NA	36	0.959204079592041
Amoxicillin_Doxorubicin	0.0644935506449355	0	NA	54	0.0647935206479352
Amoxicillin_Daptomycin	0.756724327567243	0	NA	36	0.759124087591241
Amoxicillin_Cerulenin	0.92050794920508	0	NA	36	0.916208379162084
Amoxicillin_Tigecycline	0.335866413358664	0	NA	54	0.336966303369663
Amoxicillin_Mitomycin C	0.998500149985001	28	0.969403059694031	37	0.987701229877012
Amoxicillin_Meropenem	0.590840915908409	15	0.433156684331567	45	0.582241775822418
Amoxicillin_Colistin	0.899310068993101	27	0.83991600839916	24	0.931206879312069
Amoxicillin_Metformin	0.0473952604739526	6	0.246775322467753	18	0.0495950404959504
Amoxicillin_Phenformin	0.9001099890011	35	0.914608539146085	24	0.799020097990201
Amoxicillin_Azithromycin	0.691730826917308	13	0.468553144685531	18	0.698930106989301
Amoxicillin_Curcumin	0.733826617338266	0	NA	18	0.737826217378262
Amoxicillin_Berberine	0.636236376362364	0	NA	18	0.634636536346365
Amoxicillin_Diclofenac	0.268573142685731	0	NA	18	0.267573242675732
Amoxicillin_Acetylsalisylic acid	0.968903109689031	0	NA	18	0.968603139686031
Amoxicillin_Ciclopirox	0.446155384461554	2	NA	18	0.456254374562544
Amoxicillin_Triclosan	0.651334866513349	0	NA	18	0.641935806419358
Amoxicillin_CHIR-90	0.16988301169883	18	0.174682531746825	0	NA
Amoxicillin_Phleomycin	0.947105289471053	0	NA	18	0.951504849515049
Amoxicillin_Moxifloxacin	0.74972502749725	5	0.767923207679232	12	0.754024597540246
Amoxicillin_Gentamicin	0.392360763923608	12	0.822017798220178	6	0.0167983201679832
Amoxicillin_Streptozotocin	0.277172282771723	0	NA	18	0.276272372762724
Chloramphenicol_Ciprofloxacin	9.99900009999e-05	49	0.0006999300069993	30	0.0013998600139986
Chloramphenicol_Cycloserine D	0.42975702429757	18	0.317968203179682	60	0.398560143985601
Chloramphenicol_Doxycycline	0.958904109589041	53	0.827117288271173	56	0.735926407359264
Chloramphenicol_Spectinomycin	0.957904209579042	38	0.97980201979802	56	0.913008699130087
Chloramphenicol_Fosfomycin	0.0864913508649135	32	0.0304969503049695	42	0.0873912608739126
Chloramphenicol_Oxacillin	0.266073392660734	18	0.351164883511649	60	0.245875412458754
Chloramphenicol_Novobiocin	0.0812918708129187	18	0.157384261573843	78	0.0633936606339366
Chloramphenicol_Bacitracin	0.109489051094891	18	0.23027697230277	60	0.0845915408459154
Chloramphenicol_Polymyxin B	0.961003899610039	27	0.998500149985001	55	0.601239876012399
Chloramphenicol_Fusidic acid	0.167783221677832	21	0.741625837416258	58	0.238776122387761
Chloramphenicol_Amikacin	0.0244975502449755	54	0.12998700129987	59	0.0084991500849915
Chloramphenicol_Cefotaxime	0.647335266473353	21	0.868213178682132	50	0.85981401859814
Chloramphenicol_Benzalkonium	0.0481951804819518	44	0.471652834716528	38	0.0201979802019798
Chloramphenicol_Cefaclor	0.0200979902009799	18	0.632136786321368	60	0.0137986201379862
Chloramphenicol_Cefsulodin	0.964303569643036	24	0.965303469653035	52	0.853514648535146
Chloramphenicol_Clindamycin	0.873712628737126	18	0.958204179582042	60	0.890810918908109
Chloramphenicol_Spiramycin	0.62013798620138	18	0.541745825417458	60	0.626037396260374
Chloramphenicol_Erythromycin	0.0232976702329767	61	0.0205979402059794	54	0.000999900009999
Chloramphenicol_Trimethoprim	0.913108689131087	24	0.579342065793421	59	0.863713628637136
Chloramphenicol_Sulfamonomethoxine	0.802319768023198	23	0.518548145185481	56	0.926607339266073
Chloramphenicol_Paraquat	0.887511248875112	23	0.685431456854315	60	0.888811118888111
Chloramphenicol_Procaine	0.0013998600139986	48	0.004999500049995	38	0.105689431056894
Chloramphenicol_Vanillin	0.794520547945205	30	0.857814218578142	55	0.503849615038496
Chloramphenicol_Verapamil	0.370862913708629	22	0.977002299770023	59	0.223277672232777
Chloramphenicol_Levofloxacin	0.107889211078892	66	0.108789121087891	7	0.0292970702929707
Chloramphenicol_Piperacillin	9.99900009999e-05	37	0.0003999600039996	41	0.0296970302969703
Chloramphenicol_Nitrofurantoin	9.99900009999e-05	28	9.99900009999e-05	58	9.99900009999e-05
Chloramphenicol_CCCP	0.274572542745725	21	0.925807419258074	78	0.211678832116788
Chloramphenicol_Cephalexin	0.938806119388061	19	0.0918908109189081	78	0.940905909409059
Chloramphenicol_Mecillinam	0.932406759324068	18	0.492550744925507	60	0.925707429257074
Chloramphenicol_A22	9.99900009999e-05	47	9.99900009999e-05	75	0.0001999800019998
