Complete_p_val	Pos_pot	Antag_p_val	Neg_pot	Syn_p_val
Amoxicillin_Chloramphenicol	0.830916908309169	66	0.82981701829817	66	0.832116788321168
Amoxicillin_Ciprofloxacin	9.99900009999e-05	30	9.99900009999e-05	30	9.99900009999e-05
Amoxicillin_Cycloserine D	0.791620837916208	36	0.784221577842216	36	0.786221377862214
Amoxicillin_Doxycycline	0.883711628837116	36	0.881611838816118	36	0.884111588841116
Amoxicillin_Spectinomycin	0.958004199580042	36	0.958004199580042	36	0.959004099590041
Amoxicillin_Fosfomycin	0.985201479852015	33	0.988501149885011	33	0.987301269873013
Amoxicillin_Oxacillin	0.434156584341566	36	0.438956104389561	36	0.430556944305569
Amoxicillin_Novobiocin	0.807319268073193	54	0.7996200379962	54	0.803619638036196
Amoxicillin_Bacitracin	0.975002499750025	36	0.976902309769023	36	0.975602439756024
Amoxicillin_Polymyxin B	0.989201079892011	39	0.987801219878012	39	0.988501149885011
Amoxicillin_Fusidic acid	0.977802219778022	36	0.978002199780022	36	0.980901909809019
Amoxicillin_Amikacin	0.0105989401059894	54	0.0088991100889911	54	0.0087991200879912
Amoxicillin_Cefotaxime	0.0412958704129587	30	0.0365963403659634	30	0.0338966103389661
Amoxicillin_Benzalkonium	0.993300669933007	36	0.992000799920008	36	0.992400759924008
Amoxicillin_Cefaclor	0.616838316168383	36	0.607539246075392	36	0.623237676232377
Amoxicillin_Cefsulodin	0.0778922107789221	36	0.0785921407859214	36	0.0744925507449255
Amoxicillin_Clindamycin	0.922407759224078	36	0.922207779222078	36	0.922107789221078
Amoxicillin_Spiramycin	0.721527847215279	36	0.720527947205279	36	0.721727827217278
Amoxicillin_Erythromycin	0.23977602239776	36	0.246575342465753	36	0.234476552344766
Amoxicillin_Trimethoprim	0.84021597840216	36	0.84031596840316	36	0.845915408459154
Amoxicillin_Sulfamonomethoxine	0.588541145885412	36	0.592940705929407	36	0.6002399760024
Amoxicillin_Paraquat	0.624437556244376	36	0.632936706329367	36	0.626837316268373
Amoxicillin_Procaine	0.938206179382062	30	0.94040595940406	30	0.92990700929907
Amoxicillin_Vanillin	0.6001399860014	36	0.599140085991401	36	0.608539146085392
Amoxicillin_Verapamil	0.931306869313069	36	0.932106789321068	36	0.928407159284072
Amoxicillin_Levofloxacin	0.222277772222778	36	0.215078492150785	36	0.223977602239776
Amoxicillin_Piperacillin	0.88041195880412	36	0.878912108789121	36	0.876812318768123
Amoxicillin_Nitrofurantoin	0.956904309569043	36	0.954804519548045	36	0.953904609539046
Amoxicillin_CCCP	0.782321767823218	54	0.786621337866213	54	0.792320767923208
Amoxicillin_Cephalexin	0.784921507849215	54	0.773422657734227	54	0.767323267673233
Amoxicillin_Mecillinam	0.946505349465053	36	0.945005499450055	36	0.943905609439056
Amoxicillin_A22	9.99900009999e-05	54	9.99900009999e-05	54	9.99900009999e-05
Amoxicillin_Loperamide	0.918208179182082	36	0.911508849115088	36	0.911108889111089
Amoxicillin_Minocycline	0.827517248275172	54	0.834316568343166	54	0.826817318268173
Amoxicillin_Tobramycin	0.881011898810119	54	0.887911208879112	54	0.889211078892111
Amoxicillin_Teicoplanin	0.524347565243476	36	0.516348365163484	36	0.519048095190481
Amoxicillin_Chlorhexidine	0.0365963403659634	36	0.0345965403459654	36	0.0351964803519648
Amoxicillin_Metronidazole	0.797120287971203	36	0.8000199980002	36	0.797220277972203
Amoxicillin_Nisin	0.883311668833117	36	0.889211078892111	36	0.881911808819118
Amoxicillin_EGCG	0.461453854614539	36	0.467953204679532	36	0.47025297470253
Amoxicillin_Flucytosine	0.303069693030697	36	0.31026897310269	36	0.306769323067693
Amoxicillin_Rifampicin	0.864113588641136	36	0.862113788621138	36	0.86021397860214
Amoxicillin_Aztreonam	0.992600739926007	36	0.992900709929007	36	0.993800619938006
Amoxicillin_Penicillin G	0.797020297970203	36	0.795020497950205	36	0.795920407959204
Amoxicillin_Theophylline	0.788121187881212	36	0.797420257974203	36	0.788421157884212
Amoxicillin_Clofazimine	0.719028097190281	36	0.721227877212279	36	0.711328867113289
Amoxicillin_Clarithromycin	0.171082891710829	36	0.171482851714829	36	0.168983101689831
Amoxicillin_Caffeine	0.953404659534047	36	0.946105389461054	36	0.948305169483052
Amoxicillin_Reserpine	0.521547845215478	36	0.521147885211479	36	0.524647535246475
Amoxicillin_Puromycin	0.970802919708029	36	0.975002499750025	36	0.972602739726027
Amoxicillin_Nonactin	0.45025497450255	36	0.449055094490551	36	0.45025497450255
Amoxicillin_Imipenem	0.375962403759624	54	0.372562743725627	54	0.375762423757624
Amoxicillin_Bleomycin	0.760923907609239	36	0.76032396760324	36	0.762023797620238
Amoxicillin_Linezolid	0.955404459554045	36	0.957104289571043	36	0.95960403959604
Amoxicillin_Doxorubicin	0.0638936106389361	54	0.0666933306669333	54	0.0661933806619338
Amoxicillin_Daptomycin	0.74972502749725	36	0.763423657634237	36	0.756824317568243
Amoxicillin_Cerulenin	0.913508649135086	36	0.917808219178082	36	0.917108289171083
Amoxicillin_Tigecycline	0.336166383361664	54	0.331666833316668	54	0.338866113388661
Amoxicillin_Mitomycin C	0.997100289971003	54	0.997700229977002	54	0.998000199980002
Amoxicillin_Meropenem	0.599140085991401	51	0.596540345965404	51	0.596240375962404
Amoxicillin_Colistin	0.897510248975102	51	0.898810118988101	51	0.896710328967103
Amoxicillin_Metformin	0.0501949805019498	18	0.0483951604839516	18	0.0501949805019498
Amoxicillin_Phenformin	0.902409759024098	36	0.899010098990101	36	0.905909409059094
Amoxicillin_Azithromycin	0.694830516948305	18	0.697730226977302	18	0.692730726927307
Amoxicillin_Curcumin	0.743725627437256	18	0.724327567243276	18	0.736026397360264
Amoxicillin_Berberine	0.641835816418358	18	0.638736126387361	18	0.637236276372363
Amoxicillin_Diclofenac	0.263273672632737	18	0.261773822617738	18	0.267673232676732
Amoxicillin_Acetylsalisylic acid	0.967403259674033	18	0.968803119688031	18	0.967403259674033
Amoxicillin_Ciclopirox	0.457954204579542	18	0.446055394460554	18	0.453554644535546
Amoxicillin_Triclosan	0.645835416458354	18	0.650534946505349	18	0.643735626437356
Amoxicillin_CHIR-90	0.171782821717828	18	0.175882411758824	18	0.173182681731827
Amoxicillin_Phleomycin	0.949105089491051	18	0.951604839516048	18	0.948705129487051
Amoxicillin_Moxifloxacin	0.751824817518248	12	0.748625137486251	12	0.763423657634237
Amoxicillin_Gentamicin	0.38966103389661	18	0.386861313868613	18	0.393760623937606
Amoxicillin_Streptozotocin	0.279472052794721	18	0.28007199280072	18	0.282071792820718
Chloramphenicol_Ciprofloxacin	9.99900009999e-05	57	9.99900009999e-05	57	0.0001999800019998
Chloramphenicol_Cycloserine D	0.422457754224578	66	0.43015698430157	66	0.429157084291571
Chloramphenicol_Doxycycline	0.961403859614039	66	0.960503949605039	66	0.959404059594041
Chloramphenicol_Spectinomycin	0.965503449655035	66	0.96030396960304	66	0.963403659634037
Chloramphenicol_Fosfomycin	0.0911908809119088	55	0.0908909109089091	55	0.0907909209079092
Chloramphenicol_Oxacillin	0.258974102589741	66	0.273672632736726	66	0.270672932706729
Chloramphenicol_Novobiocin	0.0754924507549245	84	0.0735926407359264	84	0.0770922907709229
Chloramphenicol_Bacitracin	0.113688631136886	66	0.111688831116888	66	0.115988401159884
Chloramphenicol_Polymyxin B	0.962103789621038	67	0.960503949605039	67	0.962203779622038
Chloramphenicol_Fusidic acid	0.155084491550845	66	0.158984101589841	66	0.15968403159684
Chloramphenicol_Amikacin	0.025997400259974	81	0.0211978802119788	81	0.026997300269973
Chloramphenicol_Cefotaxime	0.651134886511349	60	0.644535546445355	60	0.644235576442356
Chloramphenicol_Benzalkonium	0.0471952804719528	66	0.0490950904909509	66	0.0483951604839516
Chloramphenicol_Cefaclor	0.0190980901909809	66	0.0174982501749825	66	0.0188981101889811
Chloramphenicol_Cefsulodin	0.963803619638036	66	0.967103289671033	66	0.962503749625037
Chloramphenicol_Clindamycin	0.879312068793121	66	0.876612338766123	66	0.874312568743126
Chloramphenicol_Spiramycin	0.614638536146385	66	0.616038396160384	66	0.627737226277372
Chloramphenicol_Erythromycin	0.0240975902409759	66	0.0251974802519748	66	0.024997500249975
Chloramphenicol_Trimethoprim	0.915808419158084	66	0.914808519148085	66	0.913908609139086
Chloramphenicol_Sulfamonomethoxine	0.801419858014199	66	0.806719328067193	66	0.808819118088191
Chloramphenicol_Paraquat	0.887211278872113	66	0.881611838816118	66	0.887111288871113
Chloramphenicol_Procaine	0.0023997600239976	50	0.0024997500249975	50	0.0018998100189981
Chloramphenicol_Vanillin	0.79022097790221	66	0.799020097990201	66	0.793920607939206
Chloramphenicol_Verapamil	0.366463353664634	66	0.367063293670633	66	0.362763723627637
Chloramphenicol_Levofloxacin	0.111988801119888	66	0.117888211178882	66	0.103489651034897
Chloramphenicol_Piperacillin	9.99900009999e-05	66	9.99900009999e-05	66	9.99900009999e-05
Chloramphenicol_Nitrofurantoin	9.99900009999e-05	66	9.99900009999e-05	66	9.99900009999e-05
Chloramphenicol_CCCP	0.272872712728727	84	0.276972302769723	84	0.26957304269573
Chloramphenicol_Cephalexin	0.945005499450055	84	0.941505849415059	84	0.944405559444056
Chloramphenicol_Mecillinam	0.938106189381062	66	0.927407259274073	66	0.933806619338066
Chloramphenicol_A22	0.0001999800019998	84	9.99900009999e-05	84	9.99900009999e-05
Chloramphenicol_Loperamide	0.702329767023298	66	0.702629737026297	66	0.694830516948305
Chloramphenicol_Minocycline	0.915208479152085	84	0.911008899110089	84	0.916208379162084
Chloramphenicol_Tobramycin	9.99900009999e-05	84	9.99900009999e-05	84	9.99900009999e-05
Chloramphenicol_Teicoplanin	0.838016198380162	66	0.838816118388161	66	0.841115888411159
Chloramphenicol_Chlorhexidine	0.0003999600039996	66	0.0005999400059994	66	0.0005999400059994
Chloramphenicol_Metronidazole	0.939006099390061	66	0.935606439356064	66	0.931006899310069
Chloramphenicol_Nisin	0.27017298270173	66	0.265773422657734	66	0.273072692730727
Chloramphenicol_EGCG	0.0044995500449955	65	0.0051994800519948	65	0.004999500049995
Chloramphenicol_Flucytosine	9.99900009999e-05	66	9.99900009999e-05	66	9.99900009999e-05
Chloramphenicol_Rifampicin	0.131786821317868	66	0.120887911208879	66	0.122587741225877
Chloramphenicol_Aztreonam	0.138786121387861	66	0.142185781421858	66	0.142885711428857
Chloramphenicol_Penicillin G	0.933506649335066	66	0.934206579342066	66	0.937006299370063
Chloramphenicol_Theophylline	0.698930106989301	66	0.693830616938306	66	0.704529547045295
Chloramphenicol_Clofazimine	0.97010298970103	66	0.968403159684032	66	0.972202779722028
Chloramphenicol_Clarithromycin	0.0034996500349965	66	0.002999700029997	66	0.0027997200279972
Chloramphenicol_Caffeine	0.045995400459954	66	0.0481951804819518	66	0.0498950104989501
Chloramphenicol_Reserpine	0.007999200079992	66	0.0081991800819918	66	0.0082991700829917
Chloramphenicol_Puromycin	0.977102289771023	66	0.978702129787021	66	0.978302169783022
Chloramphenicol_Nonactin	0.932206779322068	66	0.924707529247075	66	0.92970702929707
Chloramphenicol_Imipenem	0.243675632436756	84	0.252874712528747	84	0.239376062393761
Chloramphenicol_Bleomycin	0.961003899610039	66	0.962403759624038	66	0.96040395960404
Chloramphenicol_Linezolid	0.193080691930807	66	0.184581541845815	66	0.183681631836816
