Complete_p_val	Pos_pot	Antag_p_val	Neg_pot	Syn_p_val
Amoxicillin_Chloramphenicol	0.949405059494051	15	0.997900209979002	36	0.94960503949605
Amoxicillin_Ciprofloxacin	0.192980701929807	9	0.003999600039996	27	0.720927907209279
Amoxicillin_Cycloserine D	0.0091990800919908	9	0.78992100789921	24	0.0003999600039996
Amoxicillin_Doxycycline	0.033996600339966	23	0.237976202379762	36	0.0331966803319668
Amoxicillin_Spectinomycin	0.923507649235076	12	0.951804819518048	36	0.925407459254075
Amoxicillin_Fosfomycin	9.99900009999e-05	4	0.0770922907709229	54	9.99900009999e-05
Amoxicillin_Oxacillin	0.961203879612039	0	NA	54	0.957204279572043
Amoxicillin_Novobiocin	0.915508449155084	36	0.786021397860214	55	0.81031896810319
Amoxicillin_Bacitracin	0.591140885911409	0	NA	36	0.591540845915408
Amoxicillin_Polymyxin B	0.458554144585541	0	NA	36	0.463453654634537
Amoxicillin_Fusidic acid	0.976702329767023	2	NA	36	0.974202579742026
Amoxicillin_Amikacin	9.99900009999e-05	1	NA	54	9.99900009999e-05
Amoxicillin_Cefotaxime	0.62003799620038	0	NA	36	0.619338066193381
Amoxicillin_PMS	0.0262973702629737	5	0.577742225777422	36	0.0273972602739726
Amoxicillin_Benzalkonium	0.165083491650835	5	0.272672732726727	54	0.165383461653835
Amoxicillin_Cefaclor	0.0007999200079992	19	0.698830116988301	24	9.99900009999e-05
Amoxicillin_Cefsulodin	0.90950904909509	0	NA	66	0.903209679032097
Amoxicillin_Clindamycin	0.793820617938206	14	0.326767323267673	36	0.787721227877212
Amoxicillin_Spiramycin	0.970802919708029	0	NA	36	0.975102489751025
Amoxicillin_Erythromycin	0.626337366263374	11	0.226077392260774	36	0.616838316168383
Amoxicillin_Trimethoprim	0.012998700129987	29	0.110788921107889	36	0.0116988301169883
Amoxicillin_Sulfamonomethoxine	0.836916308369163	0	NA	36	0.831016898310169
Amoxicillin_Paraquat	0.965903409659034	0	NA	36	0.965003499650035
Amoxicillin_Procaine	0.842815718428157	25	0.941205879412059	36	0.838816118388161
Amoxicillin_Vanillin	0.918508149185082	0	NA	36	0.917908209179082
Amoxicillin_Verapamil	0.947605239476052	0	NA	36	0.94970502949705
Amoxicillin_Levofloxacin	0.411558844115588	27	0.466353364663534	12	0.496750324967503
Amoxicillin_Piperacillin	9.99900009999e-05	8	0.0026997300269973	36	9.99900009999e-05
Amoxicillin_Nitrofurantoin	0.957804219578042	0	NA	36	0.96030396960304
Amoxicillin_CCCP	0.928607139286071	21	0.987001299870013	54	0.935006499350065
Amoxicillin_Cephalexin	0.483651634836516	0	NA	36	0.478952104789521
Amoxicillin_Mecillinam	0.0005999400059994	18	0.0063993600639936	30	9.99900009999e-05
Amoxicillin_A22	0.0936906309369063	10	0.162783721627837	36	0.0932906709329067
Amoxicillin_Loperamide	0.941505849415059	0	NA	36	0.941505849415059
Amoxicillin_Minocycline	0.0450954904509549	3	NA	36	0.0428957104289571
Amoxicillin_Tobramycin	0.784421557844216	0	NA	36	0.786021397860214
