Complete_p_val	Pos_pot	Antag_p_val	Neg_pot	Syn_p_val
Amoxicillin_Chloramphenicol	0.948605139486051	36	0.951304869513049	36	0.94960503949605
Amoxicillin_Ciprofloxacin	0.2004799520048	33	0.199280071992801	33	0.2002799720028
Amoxicillin_Cycloserine D	0.0077992200779922	33	0.0091990800919908	33	0.0101989801019898
Amoxicillin_Doxycycline	0.0310968903109689	36	0.031996800319968	36	0.0338966103389661
Amoxicillin_Spectinomycin	0.922707729227077	36	0.924607539246075	36	0.927607239276072
Amoxicillin_Fosfomycin	9.99900009999e-05	54	9.99900009999e-05	54	9.99900009999e-05
Amoxicillin_Oxacillin	0.958604139586041	54	0.95980401959804	54	0.961403859614039
Amoxicillin_Novobiocin	0.91050894910509	66	0.913708629137086	66	0.908109189081092
Amoxicillin_Bacitracin	0.597040295970403	36	0.596540345965404	36	0.591940805919408
Amoxicillin_Polymyxin B	0.456254374562544	36	0.461853814618538	36	0.46005399460054
Amoxicillin_Fusidic acid	0.973202679732027	36	0.972602739726027	36	0.976402359764024
Amoxicillin_Amikacin	9.99900009999e-05	54	0.0001999800019998	54	9.99900009999e-05
Amoxicillin_Cefotaxime	0.616838316168383	36	0.621037896210379	36	0.618838116188381
Amoxicillin_PMS	0.0262973702629737	36	0.0260973902609739	36	0.0250974902509749
Amoxicillin_Benzalkonium	0.168583141685831	54	0.172482751724828	54	0.174282571742826
Amoxicillin_Cefaclor	0.000999900009999	36	0.0004999500049995	36	0.0013998600139986
Amoxicillin_Cefsulodin	0.901009899010099	66	0.902109789021098	66	0.905509449055094
Amoxicillin_Clindamycin	0.795920407959204	36	0.794520547945205	36	0.794720527947205
Amoxicillin_Spiramycin	0.969403059694031	36	0.971002899710029	36	0.972502749725027
Amoxicillin_Erythromycin	0.613338666133387	36	0.623037696230377	36	0.615738426157384
Amoxicillin_Trimethoprim	0.0117988201179882	36	0.0116988301169883	36	0.0100989901009899
Amoxicillin_Sulfamonomethoxine	0.835516448355164	36	0.837716228377162	36	0.836116388361164
Amoxicillin_Paraquat	0.965303469653035	36	0.964403559644036	36	0.967603239676032
Amoxicillin_Procaine	0.846215378462154	36	0.839016098390161	36	0.838416158384162
Amoxicillin_Vanillin	0.922807719228077	36	0.918808119188081	36	0.920907909209079
Amoxicillin_Verapamil	0.948505149485051	36	0.945405459454055	36	0.944605539446055
Amoxicillin_Levofloxacin	0.411158884111589	33	0.407559244075592	33	0.405459454054595
Amoxicillin_Piperacillin	9.99900009999e-05	36	9.99900009999e-05	36	9.99900009999e-05
Amoxicillin_Nitrofurantoin	0.958604139586041	36	0.96010398960104	36	0.961003899610039
Amoxicillin_CCCP	0.928707129287071	54	0.933006699330067	54	0.927607239276072
Amoxicillin_Cephalexin	0.481251874812519	36	0.483251674832517	36	0.47995200479952
Amoxicillin_Mecillinam	0.0002999700029997	36	9.99900009999e-05	36	9.99900009999e-05
Amoxicillin_A22	0.0930906909309069	36	0.0976902309769023	36	0.0958904109589041
Amoxicillin_Loperamide	0.945605439456054	36	0.941005899410059	36	0.93990600939906
Amoxicillin_Minocycline	0.0455954404559544	36	0.044995500449955	36	0.0446955304469553
Amoxicillin_Tobramycin	0.791520847915208	36	0.786521347865213	36	0.786921307869213
Amoxicillin_Teicoplanin	0.916308369163084	36	0.918008199180082	36	0.910808919108089
Amoxicillin_Chlorhexidine	0.735226477352265	36	0.739126087391261	36	0.731826817318268
Amoxicillin_Metronidazole	0.402959704029597	36	0.384461553844616	36	0.397460253974603
Amoxicillin_Nisin	0.958904109589041	36	0.958804119588041	36	0.955904409559044
Amoxicillin_EGCG	0.97000299970003	36	0.972802719728027	36	0.972002799720028
Amoxicillin_Rifampicin	0.98040195980402	51	0.982001799820018	51	0.982301769823018
Amoxicillin_Aztreonam	0.324167583241676	36	0.336766323367663	36	0.335266473352665
