Complete_p_val	Pos_pot	Antag_p_val	Neg_pot	Syn_p_val
Amoxicillin_Chloramphenicol	0.981401859814019	6	0.13988601139886	72	0.983501649835017
Amoxicillin_Ciprofloxacin	0.943905609439056	19	0.936406359364064	60	0.938706129387061
Amoxicillin_Cycloserine D	0.0011998800119988	0	NA	72	0.0011998800119988
Amoxicillin_Doxycycline	0.596740325967403	8	0.55044495550445	72	0.596440355964404
Amoxicillin_Spectinomycin	0.887511248875112	8	0.992700729927007	54	0.892110788921108
Amoxicillin_Fosfomycin	9.99900009999e-05	5	0.20987901209879	72	9.99900009999e-05
Amoxicillin_Oxacillin	0.901309869013099	0	NA	54	0.897510248975102
Amoxicillin_Novobiocin	0.63963603639636	0	NA	72	0.625437456254375
Amoxicillin_Bacitracin	0.168483151684832	0	NA	54	0.174682531746825
Amoxicillin_Polymyxin B	0.126187381261874	0	NA	54	0.125987401259874
Amoxicillin_Fusidic acid	0.606439356064394	0	NA	54	0.611138886111389
Amoxicillin_Amikacin	0.0030996900309969	12	0.999800019998	54	0.0012998700129987
Amoxicillin_Cefotaxime	0.816218378162184	0	NA	54	0.821817818218178
Amoxicillin_PMS	0.848515148485152	0	NA	54	0.845615438456154
Amoxicillin_Benzalkonium	0.617838216178382	6	0.0164983501649835	72	0.612638736126387
Amoxicillin_Cefaclor	9.99900009999e-05	18	0.852314768523148	36	9.99900009999e-05
Amoxicillin_Cefsulodin	0.873812618738126	0	NA	72	0.876112388761124
Amoxicillin_Clindamycin	0.923007699230077	6	0.507149285071493	54	0.926007399260074
Amoxicillin_Spiramycin	0.888111188881112	0	NA	54	0.886511348865114
Amoxicillin_Erythromycin	0.61053894610539	14	0.0916908309169083	54	0.605539446055394
Amoxicillin_Trimethoprim	0.193280671932807	3	NA	54	0.19048095190481
Amoxicillin_Sulfamonomethoxine	0.0016998300169983	0	NA	54	0.0022997700229977
Amoxicillin_Paraquat	0.321267873212679	0	NA	54	0.326867313268673
Amoxicillin_Procaine	0.682731726827317	20	0.872012798720128	53	0.73962603739626
Amoxicillin_Vanillin	0.928507149285071	0	NA	54	0.928907109289071
Amoxicillin_Verapamil	0.961403859614039	0	NA	54	0.96040395960404
Amoxicillin_Levofloxacin	0.324367563243676	36	0.410558944105589	18	0.872112788721128
Amoxicillin_Piperacillin	9.99900009999e-05	11	0.0223977602239776	54	9.99900009999e-05
Amoxicillin_Nitrofurantoin	0.934506549345065	0	NA	54	0.932106789321068
Amoxicillin_CCCP	0.664633536646335	10	0.834216578342166	66	0.654734526547345
Amoxicillin_Cephalexin	0.431156884311569	0	NA	54	0.424957504249575
Amoxicillin_Mecillinam	0.0232976702329767	12	0.822217778222178	36	9.99900009999e-05
Amoxicillin_A22	0.271272872712729	2	NA	48	0.272472752724728
Amoxicillin_Loperamide	0.476352364763524	0	NA	54	0.473152684731527
Amoxicillin_Minocycline	0.893310668933107	0	NA	42	0.886911308869113
Amoxicillin_Tobramycin	0.968103189681032	12	0.700629937006299	36	0.824417558244176
Amoxicillin_Teicoplanin	0.362263773622638	0	NA	54	0.35956404359564
Amoxicillin_Chlorhexidine	0.013998600139986	0	NA	54	0.0127987201279872
Amoxicillin_Metronidazole	0.64983501649835	0	NA	54	0.650834916508349
Amoxicillin_Nisin	0.924307569243076	0	NA	54	0.922107789221078
Amoxicillin_EGCG	0.959004099590041	0	NA	54	0.955204479552045
Amoxicillin_Rifampicin	0.896610338966103	12	0.938206179382062	42	0.73962603739626
Amoxicillin_Aztreonam	0.001999800019998	18	0.776322367763224	36	9.99900009999e-05
Amoxicillin_Penicillin G	0.020997900209979	2	NA	54	0.020997900209979
Amoxicillin_Theophylline	0.964003599640036	0	NA	54	0.962303769623038
Amoxicillin_Clofazimine	0.625737426257374	0	NA	54	0.609139086091391
Amoxicillin_Clarithromycin	0.886511348865114	5	0.841315868413159	48	0.893410658934107
Amoxicillin_Caffeine	0.928907109289071	0	NA	54	0.927107289271073
Amoxicillin_Reserpine	0.921907809219078	0	NA	54	0.923407659234077
Amoxicillin_Puromycin	0.649235076492351	0	NA	54	0.651134886511349
Amoxicillin_Pyocyanin	0.21957804219578	0	NA	54	0.224077592240776
Amoxicillin_Pseudomonic acid	0.90950904909509	0	NA	54	0.905309469053095
Amoxicillin_Nonactin	0.928207179282072	0	NA	54	0.930606939306069
Amoxicillin_Imipenem	0.0096990300969903	6	0.691730826917308	48	0.0243975602439756
Amoxicillin_Bleomycin	0.993200679932007	0	NA	42	0.993600639936006
Amoxicillin_Linezolid	0.960903909609039	0	NA	54	0.962403759624038
Amoxicillin_Doxorubicin	0.956304369563044	0	NA	72	0.958004199580042
Amoxicillin_Daptomycin	0.573342665733427	0	NA	54	0.575842415758424
Amoxicillin_Cerulenin	0.957804219578042	0	NA	54	0.952104789521048
Amoxicillin_Tigecycline	0.953604639536046	0	NA	72	0.952704729527047
Amoxicillin_Mitomycin C	9.99900009999e-05	32	0.00999900009999	36	0.0003999600039996
Amoxicillin_Meropenem	0.0270972902709729	12	0.685831416858314	6	0.0063993600639936
Amoxicillin_Colistin	0.935106489351065	0	NA	18	0.932406759324068
Amoxicillin_Metformin	0.854514548545146	2	NA	18	0.852014798520148
Amoxicillin_Phenformin	0.502449755024498	0	NA	18	0.505449455054495
Amoxicillin_Azithromycin	0.845715428457154	6	0.730526947305269	12	0.970902909709029
Amoxicillin_Curcumin	0.459054094590541	0	NA	18	0.465353464653535
Amoxicillin_Berberine	0.934906509349065	0	NA	18	0.933706629337066
Amoxicillin_Diclofenac	0.794220577942206	0	NA	18	0.791520847915208
Amoxicillin_Acetylsalisylic acid	0.901509849015098	2	NA	18	0.892910708929107
Amoxicillin_Ciclopirox	0.973702629737026	6	0.998800119988001	12	0.890610938906109
Amoxicillin_Triclosan	0.883111688831117	0	NA	18	0.88991100889911
Amoxicillin_CHIR-90	0.381061893810619	6	0.814518548145185	12	0.212778722127787
Amoxicillin_Phleomycin	0.877812218778122	12	0.993600639936006	6	0.707129287071293
Amoxicillin_Moxifloxacin	0.627737226277372	6	0.923907609239076	18	0.620637936206379
Amoxicillin_Gentamicin	0.406959304069593	12	0.406159384061594	6	0.877412258774123
Amoxicillin_Streptozotocin	0.953904609539046	6	0.793920607939206	18	0.954504549545045
Chloramphenicol_Ciprofloxacin	9.99900009999e-05	28	9.99900009999e-05	57	9.99900009999e-05
Chloramphenicol_Cycloserine D	0.47975202479752	3	NA	72	0.488151184881512
Chloramphenicol_Doxycycline	0.150784921507849	23	0.94040595940406	70	0.153184681531847
Chloramphenicol_Spectinomycin	0.627237276272373	24	0.986201379862014	52	0.423057694230577
Chloramphenicol_Fosfomycin	0.945905409459054	9	0.732226777322268	72	0.942305769423058
Chloramphenicol_Oxacillin	0.558744125587441	6	0.815418458154185	54	0.547345265473453
Chloramphenicol_Novobiocin	0.975202479752025	6	0.901309869013099	72	0.978902109789021
Chloramphenicol_Bacitracin	0.0586941305869413	5	0.637236276372363	54	0.058994100589941
Chloramphenicol_Polymyxin B	0.602439756024398	6	0.942905709429057	54	0.606739326067393
Chloramphenicol_Fusidic acid	0.835816418358164	6	0.381261873812619	54	0.838516148385162
Chloramphenicol_Amikacin	0.16028397160284	20	9.99900009999e-05	54	0.882511748825118
Chloramphenicol_Cefotaxime	0.0671932806719328	8	0.895210478952105	54	0.0692930706929307
Chloramphenicol_PMS	0.0008999100089991	8	0.318568143185681	54	0.0008999100089991
Chloramphenicol_Benzalkonium	0.667133286671333	10	0.999300069993001	72	0.662433756624338
Chloramphenicol_Cefaclor	0.413058694130587	21	0.0001999800019998	36	0.964403559644036
Chloramphenicol_Cefsulodin	0.520847915208479	6	0.967803219678032	72	0.522547745225477
Chloramphenicol_Clindamycin	0.246975302469753	14	0.317268273172683	54	0.252774722527747
Chloramphenicol_Spiramycin	0.637736226377362	6	0.741725827417258	54	0.650734926507349
Chloramphenicol_Erythromycin	0.0374962503749625	23	0.0443955604439556	51	0.0071992800719928
Chloramphenicol_Trimethoprim	0.0004999500049995	21	0.0072992700729927	53	0.0011998800119988
Chloramphenicol_Sulfamonomethoxine	0.95960403959604	6	0.660633936606339	54	0.958304169583042
Chloramphenicol_Paraquat	0.0147985201479852	5	0.067993200679932	54	0.0152984701529847
Chloramphenicol_Procaine	0.0208979102089791	31	0.0031996800319968	49	0.186481351864814
Chloramphenicol_Vanillin	0.058994100589941	5	0.85041495850415	53	0.0604939506049395
Chloramphenicol_Verapamil	0.976902309769023	6	0.888411158884112	54	0.975502449755025
Chloramphenicol_Levofloxacin	0.0005999400059994	42	0.0285971402859714	18	0.0035996400359964
Chloramphenicol_Piperacillin	0.0073992600739926	21	0.0016998300169983	52	0.0121987801219878
Chloramphenicol_Nitrofurantoin	0.948505149485051	5	0.986101389861014	54	0.947605239476052
Chloramphenicol_CCCP	0.684231576842316	15	0.697430256974303	66	0.693630636936306
Chloramphenicol_Cephalexin	0.967403259674033	5	0.729327067293271	54	0.968003199680032
Chloramphenicol_Mecillinam	0.964503549645035	16	0.784021597840216	36	0.935806419358064
Chloramphenicol_A22	0.0002999700029997	13	0.0005999400059994	47	0.0006999300069993
Chloramphenicol_Loperamide	0.0798920107989201	5	0.678132186781322	54	0.0802919708029197
Chloramphenicol_Minocycline	0.0417958204179582	5	0.3003699630037	42	0.0444955504449555
Chloramphenicol_Tobramycin	0.889111088891111	16	0.0133986601339866	36	0.742025797420258
Chloramphenicol_Teicoplanin	0.951904809519048	5	0.978502149785021	54	0.949405059494051
Chloramphenicol_Chlorhexidine	0.0836916308369163	5	0.998000199980002	54	0.0881911808819118
Chloramphenicol_Metronidazole	0.450554944505549	6	0.878812118788121	54	0.435256474352565
Chloramphenicol_Nisin	0.81001899810019	5	0.955104489551045	54	0.812418758124188
Chloramphenicol_EGCG	0.958604139586041	2	NA	54	0.957004299570043
Chloramphenicol_Rifampicin	0.961603839616038	12	0.875012498750125	42	0.956804319568043
Chloramphenicol_Aztreonam	0.277872212778722	25	0.257674232576742	36	0.884311568843116
Chloramphenicol_Penicillin G	9.99900009999e-05	17	0.0025997400259974	53	0.0001999800019998
Chloramphenicol_Theophylline	0.825917408259174	4	0.861813818618138	54	0.815818418158184
Chloramphenicol_Clofazimine	0.0008999100089991	5	0.789421057894211	54	0.000999900009999
Chloramphenicol_Clarithromycin	9.99900009999e-05	18	0.0036996300369963	47	9.99900009999e-05
Chloramphenicol_Caffeine	0.825617438256174	6	0.519248075192481	54	0.827917208279172
Chloramphenicol_Reserpine	0.899010098990101	5	0.925107489251075	54	0.893510648935106
Chloramphenicol_Puromycin	0.248575142485751	6	0.941905809419058	54	0.252974702529747
Chloramphenicol_Pyocyanin	0.0065993400659934	9	0.999900009999	54	0.0075992400759924
Chloramphenicol_Pseudomonic acid	0.0174982501749825	6	0.314768523147685	54	0.0143985601439856
Chloramphenicol_Nonactin	0.639336066393361	1	NA	54	0.646535346465353
Chloramphenicol_Imipenem	0.928107189281072	11	0.985801419858014	48	0.802419758024198
Chloramphenicol_Bleomycin	0.51044895510449	6	0.569043095690431	42	0.50984901509849
Chloramphenicol_Linezolid	0.626637336266373	1	NA	54	0.618338166183382
Chloramphenicol_Doxorubicin	0.943805619438056	6	0.861813818618138	72	0.937006299370063
Chloramphenicol_Daptomycin	0.944505549445055	6	0.908609139086091	54	0.93970602939706
Chloramphenicol_Cerulenin	9.99900009999e-05	4	0.457054294570543	54	9.99900009999e-05
Chloramphenicol_Tigecycline	0.717328267173283	5	0.891410858914109	72	0.720627937206279
Chloramphenicol_Mitomycin C	9.99900009999e-05	43	9.99900009999e-05	34	0.0066993300669933
Chloramphenicol_Meropenem	0.950704929507049	12	0.995600439956004	6	0.616338366163384
Chloramphenicol_Colistin	0.914308569143086	0	NA	18	0.916608339166083
Chloramphenicol_Metformin	0.231376862313769	4	0.974102589741026	18	0.225077492250775
Chloramphenicol_Phenformin	0.454854514548545	0	NA	18	0.461553844615538
Chloramphenicol_Azithromycin	0.896010398960104	9	0.934806519348065	12	0.693530646935306
Chloramphenicol_Curcumin	0.38046195380462	0	NA	18	0.373162683731627
Chloramphenicol_Berberine	0.901209879012099	0	NA	18	0.897710228977102
Chloramphenicol_Diclofenac	0.0608939106089391	0	NA	18	0.057994200579942
Chloramphenicol_Acetylsalisylic acid	0.745925407459254	4	0.877012298770123	18	0.751024897510249
Chloramphenicol_Ciclopirox	0.752424757524248	6	0.997400259974003	12	0.666333366663334
Chloramphenicol_Triclosan	0.932006799320068	0	NA	18	0.932206779322068
Chloramphenicol_CHIR-90	0.0812918708129187	6	0.822417758224178	12	0.0065993400659934
Chloramphenicol_Phleomycin	0.010998900109989	12	0.353864613538646	6	0.0741925807419258
Chloramphenicol_Moxifloxacin	0.0058994100589941	5	0.122887711228877	18	0.0036996300369963
Chloramphenicol_Gentamicin	0.601839816018398	12	0.917108289171083	6	0.56004399560044
Chloramphenicol_Streptozotocin	0.033996600339966	9	0.0101989801019898	18	0.0303969603039696
Ciprofloxacin_Cycloserine D	0.945905409459054	18	0.67033296670333	60	0.959304069593041
Ciprofloxacin_Doxycycline	9.99900009999e-05	34	9.99900009999e-05	57	9.99900009999e-05
Ciprofloxacin_Spectinomycin	9.99900009999e-05	30	9.99900009999e-05	39	0.0168983101689831
Ciprofloxacin_Fosfomycin	0.986601339866013	21	0.783121687831217	59	0.705329467053295
Ciprofloxacin_Oxacillin	0.777722227777222	15	0.852314768523148	42	0.778822117788221
Ciprofloxacin_Novobiocin	0.654134586541346	15	0.0032996700329967	57	0.959304069593041
Ciprofloxacin_Bacitracin	0.589141085891411	15	0.751324867513249	42	0.546945305469453
Ciprofloxacin_Polymyxin B	0.937206279372063	16	0.926807319268073	42	0.964403559644036
Ciprofloxacin_Fusidic acid	0.0151984801519848	15	0.408259174082592	42	0.0413958604139586
