Complete_p_val	Pos_pot	Antag_p_val	Neg_pot	Syn_p_val
Amoxicillin_Chloramphenicol	0.981401859814019	72	0.982301769823018	72	0.983501649835017
Amoxicillin_Ciprofloxacin	0.945705429457054	72	0.945805419458054	72	0.945105489451055
Amoxicillin_Cycloserine D	0.0014998500149985	72	0.0012998700129987	72	0.0015998400159984
Amoxicillin_Doxycycline	0.593040695930407	72	0.606839316068393	72	0.5997400259974
Amoxicillin_Spectinomycin	0.884211578842116	54	0.886211378862114	54	0.886511348865114
Amoxicillin_Fosfomycin	9.99900009999e-05	72	9.99900009999e-05	72	9.99900009999e-05
Amoxicillin_Oxacillin	0.903309669033097	54	0.902909709029097	54	0.9000099990001
Amoxicillin_Novobiocin	0.635636436356364	72	0.637436256374363	72	0.633936606339366
Amoxicillin_Bacitracin	0.180881911808819	54	0.163683631636836	54	0.171582841715828
Amoxicillin_Polymyxin B	0.125887411258874	54	0.126087391260874	54	0.123087691230877
Amoxicillin_Fusidic acid	0.613538646135386	54	0.616838316168383	54	0.615838416158384
Amoxicillin_Amikacin	0.0037996200379962	66	0.0036996300369963	66	0.0033996600339966
Amoxicillin_Cefotaxime	0.819018098190181	54	0.817718228177182	54	0.818718128187181
Amoxicillin_PMS	0.843215678432157	54	0.844415558444156	54	0.843215678432157
Amoxicillin_Benzalkonium	0.620637936206379	72	0.614438556144386	72	0.621037896210379
Amoxicillin_Cefaclor	9.99900009999e-05	54	0.0002999700029997	54	0.0002999700029997
Amoxicillin_Cefsulodin	0.874212578742126	72	0.872812718728127	72	0.871012898710129
Amoxicillin_Clindamycin	0.91980801919808	54	0.922107789221078	54	0.917708229177082
Amoxicillin_Spiramycin	0.886611338866113	54	0.88961103889611	54	0.889011098890111
Amoxicillin_Erythromycin	0.604639536046395	54	0.602839716028397	54	0.607939206079392
Amoxicillin_Trimethoprim	0.187181281871813	54	0.183481651834817	54	0.197680231976802
Amoxicillin_Sulfamonomethoxine	0.0016998300169983	54	0.0014998500149985	54	0.0018998100189981
Amoxicillin_Paraquat	0.32016798320168	54	0.326667333266673	54	0.332566743325667
Amoxicillin_Procaine	0.672932706729327	54	0.683831616838316	54	0.673332666733327
Amoxicillin_Vanillin	0.924207579242076	54	0.925207479252075	54	0.928207179282072
